rid,name,wclass,B16,size,warhead,pen.HE,pen.AP,kill,B22,accuracy,rng_max,rng_APCR,pen_APCR,pen_HEAT,sound,B30,B31,B32,B33,B34,B35,B36
1,Mexicanski,1,0,1,1,0,0,0,0,12,40,0,0,0,0,0,0,0,0,0,0,0
2,Mexicanski,2,0,1,1,0,0,1,0,12,40,0,0,0,0,0,0,0,0,0,0,0
3,Mexicanski,2,0,1,1,0,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0
4,7.62mm Mosin/30,1,0,1,1,0,0,1,0,16,48,0,0,0,597,0,0,0,0,0,0,0
5,7.92mm MG34 MG,3,0,3,1,0,0,0,0,44,100,0,0,0,543,0,0,0,0,0,0,0
6,7.92mm MG34 BMG,5,0,3,1,0,0,1,0,28,32,0,0,0,546,0,0,0,0,0,0,0
7,25mm KwK L/73,5,0,6,2,9,30,0,0,40,96,0,0,0,0,0,0,0,0,0,0,0
8,25mm KwK L/73,5,0,6,2,9,30,1,8,40,96,0,0,0,0,0,0,0,0,0,0,0
9,25mm L72 Gun,5,0,6,2,9,35,0,0,36,80,0,0,0,0,0,0,0,0,0,0,0
10,7.92mm MG34 LMG,2,0,2,1,0,0,12,0,36,64,0,0,0,540,0,0,0,0,0,0,0
11,37mm 61-K obr39,4,0,6,2,12,44,0,0,64,180,0,0,0,315,0,0,0,0,0,0,0
12,37mm SA18 Gun,5,0,6,2,10,32,10,0,40,100,0,0,0,0,0,0,0,0,0,0,0
13,37mm KwK38 (f),5,0,6,2,11,39,0,0,32,120,0,0,0,0,0,0,0,0,0,0,0
14,37mm PP obr.15,5,0,6,2,11,33,2,11,40,160,72,74,0,0,0,0,0,0,0,0,0
15,7.92mm MG42 MG,3,0,3,1,0,0,0,0,40,100,0,0,0,552,0,0,0,0,0,0,0
16,40mm L25 M33,5,0,6,3,10,30,2,0,35,160,0,0,0,0,0,0,0,0,0,0,0
17,7.92mm MG34 LMG,2,0,2,1,0,0,0,0,36,64,0,0,0,540,0,0,0,0,0,0,0
18,45mm L46 Gun,5,0,7,3,13,66,2,0,48,120,120,90,0,0,0,0,0,0,0,0,0
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,47mm L32 Gun,5,0,7,3,13,57,9,0,52,120,0,0,0,0,0,0,0,0,0,0,0
21,47mm KwK35 L/34,5,0,7,3,14,51,0,0,52,120,0,0,0,0,0,0,0,0,0,0,0
22,37mm FlaK36/43,4,0,6,2,12,44,11,0,60,184,0,0,0,315,0,0,0,0,0,0,0
