rid,name,nation,start_mo,status,B18,B19,B20,B21,B22,B23,B24,B25,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,91,1,11,0,0,0,0,0,0,0,0,43,49,10,5,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Lt Armd Car Sec,91,1,1,0,0,0,0,0,0,0,0,43,49,1,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Arm'd Car Sec,91,12,1,0,0,0,0,0,0,0,0,43,49,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Lt Armd Car Trp,91,12,1,0,0,0,0,0,0,0,0,43,49,1,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Arm'd Car Troop,91,12,1,0,0,0,0,0,0,0,0,43,49,1,1,72,1,72,1,72,1,73,1,73,1,0,0,0,0,0,0,0,0,0,0
6,Arm'd Car Sqdrn,91,12,11,0,0,0,0,0,0,0,0,43,49,1,2,72,1,1005,1,1005,1,1005,1,1005,1,0,0,0,0,0,0,0,0,0,0
7,Arm'd Car Troop,91,1,1,0,0,0,0,0,0,0,0,43,43,1,1,2,1,2,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0
8,Arm'd Car Sqdn,91,1,1,0,0,0,0,0,0,0,0,43,43,1,2,2,1,1007,1,1007,1,1007,1,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Lt Tank Section,91,1,1,0,0,0,0,0,0,0,0,43,49,1,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lt Tank Platoon,91,1,1,0,0,0,0,0,0,0,0,43,49,1,1,6,1,6,1,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0
12,Lt Tank Company,91,1,1,0,0,0,0,0,0,0,0,43,49,1,2,6,1,6,1,1011,1,1011,1,1011,1,0,0,0,0,0,0,0,0,0,0
13,Recon Sqdrn,91,6,1,0,0,0,0,0,0,0,0,44,49,1,2,7,1,1076,1,1026,1,1005,1,1005,1,1005,1,1108,1,0,0,0,0,0,0
14,Cruiser Section,91,1,0,0,0,0,0,0,0,0,0,43,43,1,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Cruiser Troop,91,1,0,0,0,0,0,0,0,0,0,43,43,1,1,9,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Cruiser Sqdrn ,91,1,1,0,0,0,0,0,0,0,0,43,43,1,2,9,1,1015,1,1015,1,1015,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Tank Section,91,8,0,0,0,0,0,0,0,0,0,43,49,1,1,13,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Tank Platoon,91,8,0,0,0,0,0,0,0,0,0,43,49,1,1,13,1,13,1,13,1,13,1,13,1,0,0,0,0,0,0,0,0,0,0
19,Tank Company,91,8,1,0,0,0,0,0,0,0,0,43,49,1,2,13,1,13,1,1018,1,1018,1,1018,1,0,0,0,0,0,0,0,0,0,0
20,Combat Group,91,6,1,0,0,0,0,0,0,0,0,44,49,1,2,13,1,1003,1,1018,1,1018,1,1108,1,1088,1,1127,1,1075,1,1076,1,0,0
21,Char D Tank Plt,91,1,0,0,0,0,0,0,0,0,0,43,43,1,1,14,1,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Dozer Section,91,8,0,0,0,0,0,0,0,0,0,44,49,1,1,174,1,174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CS Tank Section,91,1,0,0,0,0,0,0,0,0,0,44,49,1,1,173,1,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CS Tank Platoon,91,1,0,0,0,0,0,0,0,0,0,44,49,1,1,173,1,173,1,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Mortar Section,91,1,2,0,0,0,0,0,0,0,0,44,49,2,1,88,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
