rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,arm.B07,arm.B08,arm.B09,arm.B10,arm.B11,arm.B12,arm.B13,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,end_mo,smkdev,start_mo,B83,B84,B85,B86,text,sound,B89,B90
1,Panther G,93,50,4,5,48,151,145,186,30,50,12,0,60,0,60,0,28,80,50,40,110,45,45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,30,30,11,25,25,92,44,45,178,91,9143,0,4,0,0,6,0,6,0,8,5,230,719,0,0,1,3,0,0,0,0,9143,0,0,0
2,Panhard 165 TOE,11,0,3,4,12,212,0,0,70,35,80,0,0,0,0,0,42,9,9,9,9,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,30,0,0,0,11,43,46,33,91,238,0,4,0,0,6,0,2,0,0,2,228,352,0,0,0,1,0,0,0,0,238,0,0,0
3,Laffly S15 TOE,88,0,3,3,211,0,0,0,80,0,0,0,0,0,0,0,34,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,20,20,20,92,43,46,14,91,250,0,4,0,0,7,0,2,0,4,2,224,349,0,0,0,1,0,0,0,0,250,0,0,0
4,Panhard 178B,11,50,2,4,21,212,0,0,60,40,80,0,0,0,0,0,44,20,18,18,28,25,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,30,25,20,27,11,44,49,61,91,9146,0,4,0,0,7,0,2,0,6,2,228,352,0,0,0,10,0,0,0,0,9146,0,0,0
5,Panhard MG,88,50,2,2,192,0,0,0,140,0,0,0,0,0,0,0,44,20,18,18,26,15,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,41,24,26,30,13,43,44,32,91,7695,0,4,0,0,8,0,2,0,8,2,228,352,0,0,0,1,0,0,0,0,7695,0,0,0
6,M3A1 Stuart,12,50,2,4,6,139,177,131,50,70,60,0,60,0,60,0,34,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,16,10,0,0,90,43,43,72,91,7611,0,4,0,0,6,4,2,0,6,2,226,540,0,0,0,1,0,0,0,0,7611,0,0,0
7,M3A3 Stuart,12,50,2,4,16,139,177,131,44,83,60,0,60,0,60,0,32,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,16,10,0,0,92,43,49,85,91,7611,0,4,20,0,6,4,2,0,6,2,226,541,0,0,0,6,0,0,0,0,7611,0,0,0
8,M5A1 Stuart,12,0,2,4,16,139,177,131,44,83,60,0,60,0,60,0,32,63,28,28,67,32,32,13,80,50,40,110,45,45,16,0,0,0,0,0,0,0,24,0,17,10,0,0,91,43,49,89,91,378,0,4,20,0,6,4,2,0,6,2,226,541,0,0,0,10,0,0,0,0,378,0,0,0
9,Crusader II,64,0,3,4,20,179,0,0,0,108,60,0,0,0,0,0,28,32,26,27,49,23,30,8,9,9,9,9,9,9,5,0,0,0,0,0,0,0,37,0,40,16,40,25,90,43,43,67,91,619,0,4,4,0,7,0,3,0,8,3,226,494,0,0,0,1,0,0,0,0,619,0,0,0
10,Crusader III,64,0,2,3,29,179,0,0,0,65,60,0,0,0,0,0,28,32,27,27,51,23,29,10,7,7,7,7,7,7,7,0,0,0,0,0,0,0,40,0,40,0,50,30,91,43,43,64,91,637,0,4,0,0,5,0,3,0,8,3,226,509,0,0,0,1,0,0,0,0,637,0,0,0
