rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,72,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Rifle Platoon,72,1,0,0,0,0,0,0,0,0,0,30,43,3,1,107,1,24,1,24,1,24,1,127,1,0,0,0,0,0,0,0,0,0,0
3,Bersaglieri Plt,72,1,10,0,0,0,0,0,0,0,0,30,43,3,1,106,1,86,1,86,1,86,1,127,1,22,1,0,0,0,0,0,0,0,0
4,Marine Platoon,72,1,10,0,0,0,0,0,0,0,0,30,43,3,1,79,1,79,1,79,1,79,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Tankette Plt,72,7,0,0,0,0,0,0,0,0,0,33,44,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Lt Tank Platoon,72,4,0,0,0,0,0,0,0,0,0,41,45,1,1,2,1,2,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0
7,Howitzer Sec,72,1,0,0,0,0,0,0,0,0,0,30,49,2,1,29,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Assault Gun Bty,72,1,0,0,0,0,0,0,0,0,0,41,45,1,1,54,1,54,1,54,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Arm Car Platoon,72,1,1,0,0,0,0,0,0,0,0,30,46,1,1,93,1,93,1,93,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Heavy Tank Sec,72,9,0,0,0,0,0,0,0,0,0,43,45,1,1,148,1,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Assault Gun Sec,72,1,0,0,0,0,0,0,0,0,0,41,45,1,1,54,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,AT Gun Section,72,1,0,0,0,0,0,0,0,0,0,35,43,2,1,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Inf Gun Section,72,1,2,0,0,0,0,0,0,0,0,30,46,2,1,147,1,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CIL ATG Section,72,1,0,0,0,0,0,0,0,0,0,44,49,2,1,111,1,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mortar Section,72,1,2,0,0,0,0,0,0,0,0,34,49,2,1,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MG Section,72,1,0,0,0,0,0,0,0,0,0,30,49,3,1,179,1,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Inf AT Section,72,1,0,0,0,0,0,0,0,0,0,34,45,3,1,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Staff Car,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Hvy Truck Sec,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,12,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Hvy Truck Plt,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,137,1,137,1,137,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Fortifications,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,41,1,42,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Camel Platoon,72,1,0,0,0,0,0,0,0,0,0,30,41,4,1,125,1,125,1,125,1,125,1,0,0,0,0,0,0,0,0,0,0,0,0
23,Lt Tank Section,72,4,0,0,0,0,0,0,0,0,0,41,45,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Arm Car Patrol,72,1,1,0,0,0,0,0,0,0,0,39,46,1,2,105,1,1009,1,1009,1,1160,1,13,1,1160,1,13,1,0,0,0,0,0,0
25,Truck Section,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,13,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Truck Platoon,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,13,1,13,1,13,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Sniper,72,1,11,0,0,0,0,0,0,0,0,30,49,3,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Strike Element,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,197,1,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TD Section,72,7,0,0,0,0,0,0,0,0,0,42,49,1,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Artillery Btry,72,1,0,0,0,0,0,0,0,0,0,30,49,2,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Hvy TD Section,72,1,0,0,0,0,0,0,0,0,0,46,49,1,1,169,1,169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Howitzer Btry,72,1,0,0,0,0,0,0,0,0,0,30,49,2,1,29,1,29,1,29,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Artillery Btln,72,1,0,0,0,0,0,0,0,0,0,30,49,2,1,95,1,95,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Autocannone Sec,72,10,2,0,0,0,0,0,0,0,0,40,45,2,1,166,1,166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Destroyer SNG,72,1,0,0,0,0,0,0,0,0,0,30,49,2,4,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cruiser MNG,72,1,0,0,0,0,0,0,0,0,0,30,49,2,4,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Battleship LNG,72,1,0,0,0,0,0,0,0,0,0,30,49,2,4,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Bersaglieri Plt,72,4,10,0,0,0,0,0,0,0,0,39,43,5,1,106,1,86,1,86,1,86,1,127,1,22,1,52,1,52,1,52,1,0,0
39,Bersglieri Wpns,72,4,10,0,0,0,0,0,0,0,0,39,43,5,1,106,1,179,1,179,1,179,1,20,1,20,1,20,1,12,1,12,1,0,0
40,Ammo Dump,72,1,0,0,0,0,0,0,0,0,0,30,49,4,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,MG Platoon,72,1,0,0,0,0,0,0,0,0,0,30,49,3,1,179,1,179,1,179,1,179,1,0,0,0,0,0,0,0,0,0,0,0,0
42,Rifle Company,72,1,1,0,0,0,0,0,0,0,0,30,43,3,2,69,1,1002,1,1002,1,1002,1,0,0,0,0,0,0,0,0,0,0,0,0
43,Bersaglieri Grp,72,4,11,0,0,0,0,0,0,0,0,39,41,1,2,105,1,1077,1,1071,1,1071,1,1038,1,1038,1,1039,1,1109,1,1121,1,1102,1
44,Combat Group,72,4,1,0,0,0,0,0,0,0,0,39,43,1,2,69,1,1160,1,1005,1,1005,1,1002,1,1002,1,1075,1,1065,1,1066,1,1013,1
45,Tank Company,72,11,1,0,0,0,0,0,0,0,0,40,45,1,2,4,1,1071,1,1071,1,1071,1,0,0,0,0,0,0,0,0,0,0,0,0
46,Assault Gun Co,72,1,1,0,0,0,0,0,0,0,0,41,45,1,2,104,1,1008,1,1008,1,1008,1,0,0,0,0,0,0,0,0,0,0,0,0
47,Regional Plt,72,1,20,0,0,0,0,0,0,0,0,30,41,3,1,107,1,228,1,228,1,228,1,228,1,0,0,0,0,0,0,0,0,0,0
48,TD Platoon,72,7,0,0,0,0,0,0,0,0,0,42,44,1,1,7,1,7,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
