rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,FT,63,0,2,2,211,0,0,0,90,0,0,0,0,0,0,0,6,8,8,6,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,11,30,43,13,73,230,0,4,0,0,7,0,2,0,6,1,224,0,0,0,0,0,1,0,0,0,0,28,0,0,0
2,R-2,12,50,2,4,14,179,0,130,24,48,60,0,0,0,60,0,24,25,15,15,27,15,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,49,12,10,10,92,36,44,52,73,1508,0,4,0,0,6,0,2,0,6,3,226,103,0,0,0,0,3,0,0,0,0,136,0,0,0
3,R-35,12,70,2,2,12,196,0,0,29,29,60,0,0,0,0,0,14,32,40,40,45,40,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,24,16,30,30,70,40,44,51,73,7338,0,4,0,0,5,0,2,0,6,2,226,2,0,0,0,0,8,0,0,0,0,28,0,0,0
4,R-35/45,12,50,2,2,18,0,0,0,15,20,0,0,0,0,0,0,14,32,40,40,49,40,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,28,15,30,30,72,44,44,58,73,7333,0,4,0,0,5,0,2,0,6,2,226,168,0,0,0,0,1,0,0,0,228,0,0,0,0
5,T-38,13,50,2,4,230,227,0,126,24,48,60,0,0,0,60,0,26,25,15,12,28,15,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,49,12,10,22,63,43,43,52,73,8,0,4,0,0,6,0,2,0,6,2,226,3,0,0,0,0,1,0,0,0,5,0,0,0,0
6,T-3 CS Tank,15,41,3,5,41,155,0,6,40,14,60,0,0,0,60,0,22,75,33,50,63,30,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,26,25,12,92,42,44,83,73,7,0,4,0,10,6,0,2,0,8,3,228,104,0,0,0,0,10,0,0,0,227,134,0,0,0
7,T-IV F2 ,91,40,3,5,46,155,0,6,42,37,60,0,0,0,60,0,24,54,33,20,66,30,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,23,26,16,92,42,45,99,73,11,0,4,2,0,5,0,3,0,8,4,228,2,0,0,0,0,7,0,0,0,0,28,0,0,0
8,T-IV H,91,50,3,5,47,155,0,6,37,50,60,0,0,0,60,0,24,85,33,20,66,30,30,12,8,8,6,10,8,8,4,0,0,0,0,0,0,0,12,0,11,23,26,15,71,44,45,118,73,13,0,4,2,0,6,0,4,0,8,4,228,32,0,0,0,0,3,0,0,0,165,134,0,0,0
9,Horses,76,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,25,15,15,27,15,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,49,5,73,8260,0,0,0,0,0,0,0,0,12,0,124,3,0,1,0,0,1,0,0,0,28,28,0,0,0
10,TAS Assault Gun,18,40,3,4,208,0,0,6,22,30,0,0,0,0,60,0,24,85,33,50,95,30,30,18,32,40,40,45,40,40,13,0,0,0,0,0,0,0,21,0,9,10,10,30,71,43,45,102,73,20,0,4,4,0,4,0,3,0,8,3,226,161,0,0,0,0,7,0,0,0,8,0,0,0,0
