rid,name,wclass,B16,size,warhead,pen.HE,pen.AP,kill,accuracy,rng_max,rng_APCR,pen_APCR,pen_HEAT,sound,X1,X2,X3,X4,X5,X6,X7
1,Misc Small Arms,1,0,1,1,0,0,2,8,12,0,0,0,662,0,0,0,0,0,0,0
2,7.92 MG34 AAMG,4,0,3,1,0,0,9,44,100,0,0,0,546,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,2,1,0,0,9,36,64,0,0,0,540,0,0,0,0,0,0,0
4,7.92mm MG34 MG,3,0,3,1,0,0,12,44,100,0,0,0,543,0,0,0,0,0,0,0
5,7.92mm MG42 MG,3,0,3,1,0,0,14,40,100,0,0,0,552,0,0,0,0,0,0,0
6,7.92mm MG34 BMG,5,0,3,1,0,0,10,28,32,0,0,0,546,0,0,0,0,0,0,0
7,20mm Quad AA,4,0,222,2,12,38,28,72,160,0,0,0,570,0,0,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20mm KwK38 Hglf,4,0,222,2,12,38,14,48,96,64,63,0,477,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,37mm FlaK36/43,4,0,6,2,12,44,11,60,184,0,0,0,315,0,0,0,0,0,0,0
12,20mm FlaK30/38 ,4,0,222,2,12,38,14,56,160,0,0,0,477,0,0,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40mm Bofors AA,4,0,6,3,26,56,11,60,207,0,0,0,991,0,0,0,0,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,47mm L34 Gun,5,0,7,3,14,51,3,52,120,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50mm KwK38 L/42,5,0,7,3,18,77,3,60,180,72,130,0,0,0,0,0,0,0,0,0
26,50mm KwK39 L/60,5,0,7,3,20,100,3,72,196,80,161,0,0,0,0,0,0,0,0,0
27,76.2mm 02/30 FH,6,0,9,4,25,69,6,48,216,40,0,75,0,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,50mm PaK38/45,5,0,7,3,20,100,3,72,196,80,161,0,0,0,0,0,0,0,0,0
31,65mm M/1894 FG,6,0,8,3,14,0,5,36,200,0,0,0,0,0,0,0,0,0,0,0
32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,75mm M1A1 Pack,6,0,9,4,23,0,6,48,216,40,0,65,0,0,0,0,0,0,0,0
34,75mm leFH16nA,6,0,9,4,23,50,6,48,216,0,0,75,0,0,0,0,0,0,0,0
35,75mm PaK40/1,6,0,8,4,27,140,5,84,207,144,178,0,0,0,0,0,0,0,0,0
36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3in OML Mortar,3,0,5,5,12,0,7,16,208,20,0,0,0,0,0,0,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,75mm M/27 FH,6,0,8,5,26,0,6,36,208,0,0,0,0,0,0,0,0,0,0,0
40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0
44,75mm leFH16nA,6,0,9,4,23,50,6,48,216,0,0,75,0,0,0,0,0,0,0,0
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,75mm KwK40 L/43,6,0,8,4,26,135,5,76,206,128,193,0,0,0,0,0,0,0,0,0
47,75mm KwK40 L/48,6,0,8,4,27,140,5,84,207,144,195,0,0,0,0,0,0,0,0,0
48,75mm KwK42 L/70,6,0,9,4,28,188,5,136,209,160,251,0,0,0,0,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,75mm Krupp M/01,6,0,8,4,24,0,6,48,208,40,0,0,0,0,0,0,0,0,0,0
56,80mm M/35 Mtr,3,0,5,5,18,0,8,0,208,20,0,0,0,0,0,0,0,0,0,0
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,75mm M/27 FH,6,0,8,5,26,0,6,36,208,0,0,0,0,0,0,0,0,0,0,0
59,88mm FlaK18 AT,7,0,12,5,36,162,9,132,210,94,220,120,0,0,0,0,0,0,0,0
60,88mm KwK36 L/56,7,0,10,5,34,162,7,140,208,148,220,110,0,0,0,0,0,0,0,0
61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,25pdr QF GH,7,0,10,5,20,87,8,56,216,0,0,0,0,0,0,0,0,0,0,0
64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
68,105mm M/28 FG,7,0,12,6,34,74,10,48,228,40,0,0,0,0,0,0,0,0,0,0
