id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,ew,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,70,PSW 221,285,light armored car,8,recon,0,default,1935,1,1941,0,2,2,1,21,48,90,0,2,2,n/a,0,9,0,226,0,1,176,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,10,8,8,0,0,36,35,31,35,35,35,0,137,137,435,0,0
2,70,PSW 222,285,light armored car,8,recon,0,default,1937,1,1949,0,2,3,1,39,48,90,0,4,2,n/a,0,8,0,226,0,1,20,68,0,0,0,155,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,8,8,8,0,0,37,35,31,35,35,35,0,138,138,768,0,0
3,70,PSW 231 6rad,284,armored car,8,recon,0,default,1933,1,1941,0,3,4,1,33,38,91,0,4,2,n/a,0,8,0,228,0,0,8,70,0,0,0,230,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,5,0,27,36,30,0,30,30,0,7028,7028,443,0,0
4,70,PSW 231 8rad,284,armored car,8,recon,0,default,1936,1,1949,0,3,4,2,39,34,91,0,4,2,n/a,0,8,0,228,0,1,8,70,0,0,0,155,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,8,15,8,8,6,0,28,35,35,20,30,30,0,36,36,765,0,0
5,70,PSW 233,286,heavy armored car,8,recon,0,default,1943,1,1944,0,2,4,2,57,50,91,0,4,2,n/a,0,6,2,226,0,0,206,35,15,4,0,138,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,8,25,8,10,0,0,30,35,35,32,35,25,0,162,162,96,0,0
6,70,PSW 234/1,286,heavy armored car,8,recon,0,default,1943,7,1949,0,2,4,2,49,52,91,0,4,2,n/a,0,8,2,226,0,0,20,68,0,0,0,131,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,10,33,8,8,0,0,40,35,39,40,40,38,0,38,38,430,0,0
7,70,PSW 234/2,286,heavy armored car,8,recon,0,default,1943,10,1949,0,2,4,2,82,52,91,0,4,3,n/a,0,6,2,226,0,1,26,18,30,0,4,155,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,10,33,10,10,8,0,39,30,33,20,25,25,0,39,39,766,0,0
8,70,PSW 234/3,286,heavy armored car,8,recon,0,default,1944,7,1949,0,2,4,2,61,52,92,0,4,2,n/a,0,6,2,226,0,0,41,30,15,4,0,138,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,10,33,10,10,0,0,40,30,33,20,25,25,0,40,40,432,0,0
9,70,PSW 234/4,286,heavy armored car,8,recon,0,default,1945,1,1949,0,2,4,2,96,52,92,0,4,4,n/a,0,6,2,226,0,0,35,8,16,0,2,138,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,10,33,10,10,0,0,40,30,33,20,25,25,0,41,41,433,0,0
10,70,PzKpfw I B,132,light tank,2,armor,0,default,1934,1,1941,0,2,2,1,26,24,91,0,4,2,n/a,0,9,4,226,0,1,154,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,13,19,15,13,6,0,25,16,14,13,22,22,0,1,1,411,0,0
11,70,PzKpfw II C,132,light tank,2,armor,0,default,1937,3,1941,0,2,3,2,44,26,91,0,4,2,n/a,0,8,4,226,0,1,8,70,0,0,0,155,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,15,25,15,15,10,0,18,0,7,18,22,22,0,2,2,412,0,0
