id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,end_mo,exp_mod,mor_mod,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,73,SP ENH FR v1.1,4,elite recon,5,force HQ,6,force HQ,1930,1,1949,12,0,0,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,73,Pioneri Section,0,average,1,platoon,3,infantry,1930,1,1940,12,0,0,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,73,Rifle Platoon,0,average,1,platoon,3,infantry,1930,1,1944,12,0,0,215,1,25,1,27,1,27,1,27,1,0,0,0,0,0,0,0,0,0,0
4,73,Lt Tank Platoon,0,average,1,platoon,1,armor,1936,3,1944,12,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,73,Lt Tank Plt (b),0,average,1,platoon,5,*AI*,1940,8,1943,12,0,0,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,73,T-38  Section,0,average,1,platoon,1,armor,1943,1,1943,12,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,73,Assault Gun Plt,0,average,1,platoon,1,armor,1943,7,1945,12,0,0,10,1,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
8,73,Lt Armr Car Sec,1,recon,1,platoon,1,armor,1939,3,1949,12,0,0,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,73,CS Tank Platoon,0,average,3,combat group,1,armor,1942,10,1944,12,0,0,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,73,Tank Platoon 3,0,average,1,platoon,1,armor,1942,8,1945,12,0,0,7,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,73,Assault Gun Sec,0,average,1,platoon,1,armor,1943,7,1945,12,0,0,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,73,TD Section,0,average,1,platoon,1,armor,1943,6,1945,12,0,0,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,73,AT Gun Section,0,average,1,platoon,2,artillery,1937,1,1949,12,0,0,19,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,73,AT Gun Platoon,0,average,1,platoon,2,artillery,1937,1,1949,12,0,0,17,1,17,1,17,1,17,1,17,1,17,1,0,0,0,0,0,0,0,0
