id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,81,SP ENH FR v1.1,4,elite recon,4,force HQ,6,force HQ,1930,1,1949,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,81,Lt Armr Car Sec,1,recon,1,platoon,1,armor,1936,1,1949,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,81,Armored Car Sec,1,recon,1,platoon,1,armor,1936,1,1945,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,81,Armored Car Plt,1,recon,1,platoon,1,armor,1936,1,1945,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5,81,Armored Car Co,1,recon,2,company,1,armor,1936,1,1945,1,1,1004,1,1004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,81,Amphib Tank Sec,1,recon,1,platoon,4,miscellaneous,1934,1,1942,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,81,Amphib Tank Plt,1,recon,1,platoon,4,miscellaneous,1934,1,1942,6,1,6,1,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0
8,81,Amphib Tank Co,1,recon,2,company,4,miscellaneous,1934,1,1942,6,1,1007,1,1007,1,1007,1,0,0,0,0,0,0,0,0,0,0,0,0
9,81,Recon Tank Sec,1,recon,1,platoon,1,armor,1932,2,1949,201,1,201,1,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,81,Recon Tank Plt,1,recon,1,platoon,1,armor,1932,2,1949,201,1,201,1,201,1,201,1,201,1,0,0,0,0,0,0,0,0,0,0
11,81,Recon Tank Co,1,recon,2,company,1,armor,1941,9,1949,44,1,1010,1,1010,1,1010,1,0,0,0,0,0,0,0,0,0,0,0,0
12,81,Lt Tank Section,1,recon,1,platoon,1,armor,1932,1,1945,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,81,Lt Tank Platoon,1,recon,1,platoon,1,armor,1932,1,1945,16,1,16,1,16,1,16,1,16,1,0,0,0,0,0,0,0,0,0,0
14,81,+AI AVF Picks++,1,recon,2,company,5,*AI*,1939,1,1949,21,1,1013,1,1016,1,1068,1,1021,1,1024,1,0,0,0,0,0,0,0,0
15,81,Tank Section,0,average,1,platoon,1,armor,1934,1,1949,30,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,81,Tank Platoon,0,average,1,platoon,1,armor,1934,1,1949,30,1,30,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,81,Tank Company,1,recon,2,company,1,armor,1934,1,1949,30,1,1016,1,1016,1,1016,1,0,0,0,0,0,0,0,0,0,0,0,0
18,81,Guard Tank Sec,3,elite,1,platoon,1,armor,1941,10,1949,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,81,Guard Tank Plt,3,elite,1,platoon,1,armor,1941,10,1949,28,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
