id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,82,M8 Greyhound,233,armored car,8,recon,0,default,1943,4,1949,0,2,4,1,74,52,91,0,4,2,0,7,4,226,0,0,249,32,70,0,10,140,60,0,177,60,0,0,0,0,0,0,0,0,0,0,0,0,17,10,10,26,19,19,0,0,42,18,12,0,20,5,0,398,398,554,0,0
2,82,M20 Scout,233,armored car,8,recon,0,default,1943,4,1949,0,2,2,1,24,54,90,0,1,1,0,9,4,226,0,0,140,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,10,19,10,10,0,0,42,18,12,42,18,12,0,399,399,548,0,0
3,82,M20 Scout+,233,armored car,8,recon,0,default,1944,7,1949,0,2,4,1,32,54,91,0,1,1,0,9,2,226,0,0,140,90,0,0,0,184,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,10,19,10,10,0,0,42,18,12,42,18,12,0,399,399,548,0,0
4,82,M5 13tn Tractor,240,prime mover,10,transport,0,default,1942,10,1949,0,3,2,4,22,32,92,0,1,1,0,9,210,220,0,0,140,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,12,0,0,0,0,0,0,845,845,947,0,0
5,82,M1917,112,light tank,2,armor,0,default,1930,1,1940,0,2,2,2,16,6,11,0,4,2,0,9,0,226,0,0,211,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,15,7,7,4,0,10,0,0,18,22,22,0,7626,7626,626,0,0
6,82,M1917A1,112,light tank,2,armor,0,default,1930,1,1939,0,2,2,2,19,8,11,0,4,2,0,6,0,226,0,0,12,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,15,7,7,4,0,10,0,0,18,22,22,0,230,230,626,0,0
7,82,M1 Combat Car,112,light tank,2,armor,0,default,1935,1,1940,0,2,4,1,48,42,92,0,4,2,0,9,0,226,0,0,207,90,0,0,0,139,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,16,8,8,18,16,8,6,60,28,0,22,5,0,0,0,8217,8217,944,0,0
8,82,M2A2 "Mae West",112,light tank,2,armor,0,default,1935,1,1941,0,2,4,2,56,42,92,0,4,2,0,9,0,226,0,0,207,90,0,0,0,177,60,0,0,0,0,131,60,0,0,0,0,0,0,0,0,0,32,16,16,35,26,16,10,0,48,16,16,22,15,10,0,8219,443,960,0,0
9,82,M2A4,112,light tank,2,armor,0,default,1940,5,1941,0,2,4,2,61,24,91,0,4,2,0,6,4,226,0,0,16,30,73,0,0,139,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,32,16,16,48,26,16,10,0,48,16,15,22,15,10,0,443,443,540,0,0
10,82,M3 Stuart,112,light tank,2,armor,0,default,1941,6,1943,0,2,4,2,65,34,90,0,4,2,0,6,6,226,0,0,14,33,70,0,0,139,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,44,25,25,56,25,25,13,50,33,0,16,10,0,0,0,380,380,504,0,0
