id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,unit_ids[0],unit_cnt[0],unit_ids[1],unit_cnt[1],unit_ids[2],unit_cnt[2],unit_ids[3],unit_cnt[3],unit_ids[4],unit_cnt[4],unit_ids[5],unit_cnt[5],unit_ids[6],unit_cnt[6],unit_ids[7],unit_cnt[7],unit_ids[8],unit_cnt[8],unit_ids[9],unit_cnt[9]
1,83,SPWAW ENH-DV,3,elite,4,force HQ,6,force HQ,1930,1,1949,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,83,Scout Car Sec,1,recon,1,platoon,1,armor,1942,1,1949,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,83,Scout Car Plt,1,recon,1,platoon,1,armor,1939,1,1949,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,83,Lt Tank Sec,1,recon,1,platoon,1,armor,1940,7,1949,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,83,Lt Tank Plt,1,recon,1,platoon,1,armor,1940,7,1949,10,1,10,1,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0
8,83,Lt Tank Co,1,recon,2,company,1,armor,1940,7,1949,10,1,10,1,10,1,1007,1,1007,1,1007,1,0,0,0,0,0,0,0,0
9,83,Med Tank Sec,0,average,1,platoon,1,armor,1943,7,1949,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,83,<<AI CS AMPHIB>,0,average,1,platoon,5,*AI*,1930,1,1949,221,1,221,1,223,1,222,1,0,0,0,0,0,0,0,0,0,0,0,0
11,83,<<AI TANK CO>>,1,recon,2,company,5,*AI*,1900,1,1949,21,1,21,1,31,1,1020,1,1020,1,1020,1,1020,1,0,0,0,0,0,0
12,83,<<AI TANK PLT>>,0,average,1,platoon,5,*AI*,1900,1,1949,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,83,CS Tank Sec,0,average,1,platoon,1,armor,1945,9,1949,47,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,83,CS Tank Plt,0,average,1,platoon,1,armor,1945,9,1949,47,1,47,1,47,1,47,1,47,1,0,0,0,0,0,0,0,0,0,0
16,83,CS Tank Co,1,recon,2,company,1,armor,1945,9,1949,24,1,30,1,1015,1,1038,1,1031,1,1034,1,0,0,0,0,0,0,0,0
18,83,Aslt Supt Plt,0,average,2,company,1,armor,1945,11,1949,30,1,1031,1,1034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,83,Lt Aslt Spt Plt,0,average,1,platoon,1,armor,1944,6,1945,13,1,11,1,11,1,87,1,87,1,0,0,0,0,0,0,0,0,0,0
20,83,Med Tank Plt,0,average,1,platoon,1,armor,1943,7,1949,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,83,Med Tank Co,1,recon,2,company,1,armor,1943,7,1944,22,1,22,1,22,1,1020,1,1020,1,1020,1,0,0,0,0,0,0,0,0
22,83,Med Tank Co,1,recon,2,company,1,armor,1945,1,1949,21,1,21,1,31,1,1020,1,1020,1,1020,1,1020,1,0,0,0,0,0,0
24,83,Motor Recon Pl+,4,elite recon,1,platoon,1,armor,1949,1,1949,57,1,57,1,57,1,1,1,1,1,1,1,163,1,163,1,163,1,0,0
25,83,Motor Recon Co+,4,elite recon,2,company,1,armor,1949,1,1949,1,1,1002,1,1024,1,1024,1,1024,1,1024,1,0,0,0,0,0,0,0,0
26,83,Motor Recon Pl,4,elite recon,1,platoon,1,armor,1949,1,1949,57,1,57,1,57,1,57,1,1,1,1,1,1,1,1,1,0,0,0,0
27,83,<AI MECH RECON>,1,recon,1,platoon,5,*AI*,1900,1,1949,163,1,163,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
28,83,Motor Recon Co,4,elite recon,2,company,1,armor,1949,1,1949,1,1,1,1,1026,1,1026,1,1026,1,0,0,0,0,0,0,0,0,0,0
29,83,Armd Recon Co,4,elite recon,2,company,1,armor,1949,1,1949,13,1,1003,1,1007,1,1026,1,1109,1,1109,1,0,0,0,0,0,0,0,0
31,83,Mine Tank Sec,0,average,1,platoon,1,armor,1945,11,1949,33,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
