id,name,wclass,wclass,size,warhead,kill,pen_AP,pen_HE,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
0,SPWAW,0,SPWOOB_WCLASS_UNKNOWN,0,0,0,0,0,0,0,0,0,0
7,20mm Quad AA,4,SPWOOB_WCLASS_AA,222,2,28,38,12,0,0,72,160,0
11,37mm M1A2 AA,4,SPWOOB_WCLASS_AA,6,2,11,44,12,0,0,64,180,0
14,37mm M5 Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,4,71,12,0,86,44,120,40
15,37mm M6 Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,4,77,13,0,91,44,140,68
16,37mm M3 Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,4,69,12,0,0,44,120,0
17,40mm Bofors Gun,4,SPWOOB_WCLASS_AA,6,3,11,56,26,0,0,60,207,0
27,57mm M1 Gun,5,SPWOOB_WCLASS_SML_GUN,7,3,4,103,0,0,127,72,160,80
30,60mm M2 Mortar,3,SPWOOB_WCLASS_TEAM,4,3,5,0,9,0,0,16,160,10
33,75mm M1A1 Pack,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,0,23,65,0,48,216,40
34,75mm 1897A4 FG,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,58,25,0,0,40,216,60
39,75mm M1917 FG,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,60,25,0,0,48,216,60
40,M9 Bazooka,2,SPWOOB_WCLASS_INF_SEC,3,4,8,222,0,110,0,8,20,0
44,75mm M3 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,102,25,0,0,68,160,0
45,75mm M3 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,102,25,0,0,68,160,0
53,76mm M1 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,5,124,27,0,196,100,207,140
56,81mm M1 Mortar,3,SPWOOB_WCLASS_TEAM,5,5,8,0,18,0,0,16,208,20
60,76mm M7 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,5,142,27,0,196,96,207,120
65,90mm M3 Gun,7,SPWOOB_WCLASS_LRG_GUN,12,5,7,185,35,0,232,124,208,200
68,105mm M4 Gun,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,84,37,128,0,56,160,80
71,105mm M2A1 FH,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,74,34,85,0,56,222,40
72,4.2in M2 Mortar,3,SPWOOB_WCLASS_TEAM,7,6,10,0,22,0,0,16,211,20
75,75mm M6 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,98,25,0,0,68,160,0
77,TNT,2,SPWOOB_WCLASS_INF_SEC,2,10,8,0,80,0,0,4,4,0
80,Torpedo,13,SPWOOB_WCLASS_AT,12,15,100,0,210,0,0,40,80,8
81,Torpedo,13,SPWOOB_WCLASS_AT,12,15,100,222,0,210,0,80,80,8
82,4.5in M8 Rocket,7,SPWOOB_WCLASS_LRG_GUN,15,7,12,0,42,0,0,0,209,60
83,Flamethrower,8,SPWOOB_WCLASS_FLAME_INF,2,15,15,0,150,0,0,4,4,0
84,Satchel Charge,2,SPWOOB_WCLASS_INF_SEC,2,10,8,222,0,150,0,4,4,0
87,MkIIA Frag Gren,2,SPWOOB_WCLASS_INF_SEC,1,2,10,0,19,0,0,4,4,0
91,M1 Bazooka,2,SPWOOB_WCLASS_INF_SEC,3,4,8,222,0,90,0,8,16,0
94,M1 RG Launcher,2,SPWOOB_WCLASS_INF_SEC,2,2,10,222,19,25,0,8,16,0
96,E7 Flamegun,9,SPWOOB_WCLASS_FLAME_VHC,3,20,35,0,200,0,0,8,8,0
97,105mm T5E1 Gun,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,242,37,128,253,160,208,160
98,90mm M2 AA,4,SPWOOB_WCLASS_AA,10,5,7,184,35,0,0,112,207,40
100,Camera,16,SPWOOB_WCLASS_ARM,1,20,0,0,0,0,0,8,8,0
104,155mm M2 FG,7,SPWOOB_WCLASS_LRG_GUN,12,9,17,165,58,0,0,68,229,80
106,.50cal M2-HB,3,SPWOOB_WCLASS_TEAM,4,1,16,23,23,0,0,44,160,0
107,90mm M1A1 AA,4,SPWOOB_WCLASS_AA,10,5,7,152,35,0,0,100,208,0
108,POA Flamegun,9,SPWOOB_WCLASS_FLAME_VHC,3,20,20,0,200,0,0,8,8,0
109,4.5in M16 Rckt,7,SPWOOB_WCLASS_LRG_GUN,15,7,12,0,42,0,0,0,224,60
110,155mm M1 FG,7,SPWOOB_WCLASS_LRG_GUN,9,9,17,137,58,0,0,48,225,40
112,.30 M1 Garand,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,16,48,0
113,.30 M1918A2 BAR,2,SPWOOB_WCLASS_INF_SEC,1,1,5,0,0,0,0,28,56,0
114,.45 Colt M1911,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,4,4,0
115,.45 Colt M1911,2,SPWOOB_WCLASS_INF_SEC,1,1,1,0,0,0,0,4,4,0
119,Satan Flamegun,9,SPWOOB_WCLASS_FLAME_VHC,3,18,18,0,200,0,0,8,8,0
120,.30cal M1919A4,3,SPWOOB_WCLASS_TEAM,4,1,10,0,0,0,0,48,80,0
121,.30cal M1919A6,2,SPWOOB_WCLASS_INF_SEC,3,1,9,0,0,0,0,40,80,0
122,.30cal Stinger,2,SPWOOB_WCLASS_INF_SEC,1,1,10,0,0,0,0,32,56,0
123,.30cal M1917A1,3,SPWOOB_WCLASS_TEAM,4,1,13,0,0,0,0,52,100,0
126,.30cal BMG x2,5,SPWOOB_WCLASS_SML_GUN,3,1,12,0,0,0,0,28,32,0
131,.30cal BMG,5,SPWOOB_WCLASS_SML_GUN,3,1,8,0,0,0,0,28,32,0
134,.55 Boys ATR,2,SPWOOB_WCLASS_INF_SEC,2,2,1,26,0,0,0,24,40,0
135,.30 Johnson Rfl,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,12,24,0
139,.30cal M1917 AA,4,SPWOOB_WCLASS_AA,3,1,7,0,0,0,0,48,100,0
140,.50cal M2-HB AA,4,SPWOOB_WCLASS_AA,4,1,15,23,23,0,0,36,160,0
144,.30 M1 Carbine,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,16,24,0
145,.30 M1 Carbine,2,SPWOOB_WCLASS_INF_SEC,1,1,2,0,0,0,0,16,24,0
146,.30-06 M1903A4,1,SPWOOB_WCLASS_INF_PRM,1,1,5,0,0,0,0,60,80,0
147,20mm Oerlikon,4,SPWOOB_WCLASS_AA,222,2,14,38,12,0,0,72,160,0
148,.30-06 M1903A4,2,SPWOOB_WCLASS_INF_SEC,1,1,5,0,0,0,0,60,80,0
162,.30cal M2 AN MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,9,1,10,0,0,24,24,0
164,.50cal M2 MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,15,1,18,0,0,24,24,0
166,20mm M2 Cannon,11,SPWOOB_WCLASS_AIRCRAFT,0,2,6,0,25,0,0,20,24,0
175,5in Rocket+,11,SPWOOB_WCLASS_AIRCRAFT,0,8,14,0,46,0,0,0,24,0
177,.30cal CMG,5,SPWOOB_WCLASS_SML_GUN,2,1,9,0,0,0,0,48,120,0
178,3in M3 DP Gun,4,SPWOOB_WCLASS_AA,8,4,5,137,27,0,0,84,209,0
181,250 lb Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,20,29,0,75,0,0,16,4,0
182,500 lb Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,21,41,0,100,0,0,12,4,0
183,1000 lb Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,23,52,0,150,0,0,12,4,0
184,75mm M1A1 Pack,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,0,23,65,0,48,216,40
185,.50cal M2-HB AA,4,SPWOOB_WCLASS_AA,4,1,15,23,23,0,0,36,160,0
186,Explosives,2,SPWOOB_WCLASS_INF_SEC,2,8,8,0,150,0,0,4,4,0
187,4.7in Naval Gun,10,SPWOOB_WCLASS_NAVAL,99,7,12,0,39,0,0,16,226,0
188,Lt Naval Gun,10,SPWOOB_WCLASS_NAVAL,99,8,14,0,54,0,0,28,227,0
189,Med Naval Gun,10,SPWOOB_WCLASS_NAVAL,99,12,24,0,65,0,0,16,228,0
190,Hvy Naval Gun,10,SPWOOB_WCLASS_NAVAL,99,20,50,0,145,0,0,16,230,0
