id,nation,name,type,type,uclass,uclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,mclass,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_FH,arm_SH,arm_RH,arm_FT,arm_ST,arm_RT,arm_TP,arm_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT
1,91,Panther G,35,captured tank,2,armor,1944,3,1945,0,4,5,5,178,28,0,92,0,4,6,0,6,8,230,0,1,48,30,50,0,0,151,12,0,145,60,0,186,60,0,80,50,40,110,45,45,16,50,55,30,30,11,25,25
2,91,Panhard 165 TOE,78,armored car,8,recon,1943,1,1946,0,3,4,2,33,42,0,11,0,4,2,0,6,0,228,0,0,12,70,35,0,0,212,80,0,0,0,0,0,0,0,9,9,9,9,9,9,5,0,20,0,30,0,0,0
3,91,Laffly S15 TOE,77,light armored car,8,recon,1943,1,1946,0,3,3,2,14,34,0,92,0,4,2,0,7,4,224,0,0,211,80,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,0,30,0,0,20,20,20
4,91,Panhard 178B,78,armored car,8,recon,1944,10,1949,0,2,4,2,61,44,0,11,0,4,2,0,7,6,228,0,0,21,60,40,0,0,212,80,0,0,0,0,0,0,0,20,18,18,28,25,25,10,50,20,0,30,25,20,27
5,91,Panhard MG,77,light armored car,8,recon,1943,1,1944,0,2,2,2,32,44,0,13,0,4,2,0,8,8,228,0,0,192,140,0,0,0,0,0,0,0,0,0,0,0,0,20,18,18,26,15,15,7,50,20,0,41,24,26,30
6,91,M3A1 Stuart,22,light tank,2,armor,1943,1,1943,0,2,4,2,72,34,0,90,0,4,2,4,6,6,226,0,0,6,50,70,0,0,139,60,0,177,60,0,131,60,0,44,25,25,56,25,25,13,50,33,0,16,10,0,0
7,91,M3A3 Stuart,22,light tank,2,armor,1943,6,1949,0,2,4,2,85,32,0,92,0,4,2,4,6,6,226,0,0,16,44,83,0,20,139,60,0,177,60,0,131,60,0,44,25,25,56,25,25,13,50,33,0,16,10,0,0
8,91,M5A1 Stuart,22,light tank,2,armor,1943,10,1949,0,2,4,2,89,32,0,91,0,4,2,4,6,6,226,0,0,16,44,83,0,20,139,60,0,177,60,0,131,60,0,63,28,28,67,32,32,13,0,24,0,17,10,0,0
9,91,Crusader II,27,cruiser tank,2,armor,1943,1,1943,0,3,4,3,67,28,0,90,0,4,3,0,7,8,226,0,0,20,0,108,0,4,179,60,0,0,0,0,0,0,0,32,26,27,49,23,30,8,0,37,0,40,16,40,25
10,91,Crusader III,27,cruiser tank,2,armor,1943,1,1943,0,2,3,3,64,28,0,91,0,4,3,0,5,8,226,0,0,29,0,65,0,0,179,60,0,0,0,0,0,0,0,32,27,27,51,23,29,10,0,40,0,40,0,50,30
