id,name,wclass,wclass,size,warhead,kill_HE,kill_AP,pen_HE,pen_AP,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
0,SPWAW,0,unknown weapon,0,0,0,0,0,0,0,0,0,0,0
2,37mm TR16 Gun,5,light gun,6,2,0,0,10,32,0,0,40,80,0
3,Saber,2,secondary infantry weapon,1,1,0,0,0,0,0,0,4,4,0
6,37mm M5 Gun,5,light gun,6,2,4,0,12,71,0,86,44,120,40
9,25mm SA35 Gun,5,light gun,6,2,0,0,0,48,0,0,48,120,0
12,37mm SA18 Gun,5,light gun,6,2,4,0,10,32,0,0,40,100,0
13,37mm SA38 Gun,5,light gun,6,2,0,0,12,44,0,0,44,120,0
16,37mm M6 Gun,5,light gun,6,2,0,0,13,77,0,91,44,140,68
17,40mm OQF AA,4,anti-air weapon,6,3,0,0,22,52,0,0,56,207,0
18,40mm Bofors Gun,4,anti-air weapon,6,3,2,0,26,56,0,0,60,207,0
20,2pdr OQF late,5,light gun,6,2,0,0,0,76,0,129,76,160,40
21,47mm SA35 Gun,5,light gun,7,3,0,0,18,58,0,0,48,148,0
22,47mm SA37 Gun,5,light gun,7,3,0,0,18,85,0,0,44,160,0
27,57mm M1 Gun,5,light gun,7,3,0,0,0,103,0,127,72,160,80
28,47mm SA34 Gun,5,light gun,7,3,0,0,15,38,0,0,44,110,0
29,6pdr OQF Mk3,5,light gun,7,3,0,0,22,98,0,148,72,160,160
30,60mm Mle 35 Mtr,3,team weapon,4,3,0,0,5,0,0,0,16,136,10
33,75mm Mle1897 FH,6,medium gun,9,4,0,0,26,72,0,0,36,220,0
34,75mm 1897A4 FG,6,medium gun,8,4,11,0,25,58,0,0,40,216,60
35,75mm M1A1 Pack,6,medium gun,9,4,0,0,23,0,65,0,48,216,40
37,3in OML Mortar,3,team weapon,5,5,0,0,12,0,0,0,16,208,20
39,75mm SA35 Gun,6,medium gun,8,4,0,0,26,58,0,0,40,150,0
40,50mm GL 1937,3,team weapon,2,3,3,0,5,0,0,0,16,64,10
44,75mm M3 Gun,6,medium gun,8,4,3,0,25,102,0,0,68,160,0
45,75mm M3 Gun,6,medium gun,8,4,0,0,25,102,0,0,68,160,0
48,75mm KwK42 L/70,6,medium gun,9,4,0,0,28,188,0,251,136,209,160
52,75mm 1917A4,6,medium gun,8,4,0,0,25,0,75,0,40,216,60
53,76mm M1A2 Gun,6,medium gun,8,4,0,0,27,124,0,196,100,207,140
55,75mm Mle1897/33,6,medium gun,8,4,0,0,25,72,0,0,40,215,40
56,81mm Mle27/31,3,team weapon,5,5,3,0,7,0,0,0,16,207,20
59,81mm M1 Mortar,3,team weapon,5,5,0,0,18,0,0,0,16,208,20
61,76mm M1A1 Gun,6,medium gun,8,4,0,0,27,144,0,196,100,207,140
62,3in M7 Gun,6,medium gun,8,4,0,0,27,142,0,196,96,207,120
63,25pdr QF GH,7,large gun,10,5,0,0,20,87,0,0,56,216,0
64,90mm M3 Gun,7,large gun,12,5,0,0,35,185,0,232,124,208,200
65,90mm SA MOD45,7,large gun,12,5,0,0,35,185,0,232,124,208,200
71,105mm M1/M2 FH,7,large gun,12,6,0,0,34,74,85,0,48,222,40
74,105mm M4 Gun,7,large gun,12,6,7,0,37,84,128,0,56,160,80
82,TNT,2,secondary infantry weapon,2,10,0,0,80,0,0,0,4,4,0
83,Flamethrower,8,infantry flamethrower,2,15,0,0,150,0,0,0,4,4,0
84,Satchel Charge,2,secondary infantry weapon,2,10,0,0,0,222,150,0,4,4,0
85,Incendiary Bomb,8,infantry flamethrower,1,3,0,0,55,222,55,0,4,4,0
86,No.36 Mills Grn,2,secondary infantry weapon,1,2,0,0,19,0,0,0,4,4,0
87,Gr Ma OF37 Gren,2,secondary infantry weapon,1,2,0,0,19,0,0,0,4,4,0
88,MkIIA Frag Gren,2,secondary infantry weapon,1,2,6,0,19,0,0,0,4,4,0
89,60mm M2 Mortar,3,team weapon,4,3,0,0,9,0,0,0,16,160,10
90,PIAT,2,secondary infantry weapon,3,4,6,0,0,222,130,0,4,8,0
91,M1 Bazooka,2,secondary infantry weapon,3,4,0,0,0,222,90,0,8,16,0
92,75mm M1A1 Pack,6,medium gun,9,4,0,0,23,0,65,0,48,216,40
93,M1 RG Launcher,2,secondary infantry weapon,2,2,0,0,19,222,25,0,8,16,0
95,7.5mm FM24/29,2,secondary infantry weapon,2,1,0,0,0,0,0,0,24,60,0
96,155mm M2 FG,7,large gun,12,9,5,0,58,165,0,0,68,229,80
97,.303 Bren LMG,2,secondary infantry weapon,2,1,0,0,0,0,0,0,32,80,0
99,ATRG M9A1,2,secondary infantry weapon,2,2,0,0,6,222,85,0,8,16,0
100,8mm Mle14 HMG,3,team weapon,4,1,0,0,0,0,0,0,36,120,0
101,15mm Besa TMG,5,light gun,5,1,0,0,28,28,0,0,40,160,0
104,155mm M1 FG,7,large gun,9,9,6,0,58,137,0,0,48,225,40
106,.50cal M2-HB,3,team weapon,4,1,5,0,23,23,0,0,44,160,0
107,2in MkII SBML,3,team weapon,2,3,0,0,9,0,0,0,16,40,0
108,14mm FlmW41,9,vehicle flamethrower,3,20,0,0,200,0,0,0,8,8,0
109,2in MkII* SBML,2,secondary infantry weapon,2,3,0,0,9,0,0,0,16,40,0
110,155mm C Mle17 S,7,large gun,12,9,6,0,58,0,0,0,40,228,40
111,7.5mm FM24/29x2,2,secondary infantry weapon,2,1,0,0,0,0,0,0,24,60,0
112,.30 M1 Garand,1,primary infantry weapon,1,1,8,0,0,0,0,0,16,48,0
113,.30 M1918A2 BAR,2,secondary infantry weapon,1,1,0,0,0,0,0,0,28,56,0
114,7.65mm Ruby,1,primary infantry weapon,1,1,0,0,0,0,0,0,4,4,0
115,No.68 ATRG,2,secondary infantry weapon,2,2,0,0,0,222,50,0,8,12,0
116,7.65mm Ruby,2,secondary infantry weapon,1,1,0,0,0,0,0,0,4,4,0
118,.303 Vickers MG,3,team weapon,4,1,8,0,0,0,0,0,48,100,0
120,.30cal M1919A4,3,team weapon,4,1,0,0,0,0,0,0,48,80,0
121,.30cal M1917A1,3,team weapon,4,1,0,0,0,0,0,0,52,100,0
122,.30cal M1919A6,2,secondary infantry weapon,3,1,5,0,0,0,0,0,40,80,0
128,7.5mm MAC31 BMG,5,light gun,3,1,7,0,0,0,0,0,28,20,0
130,7.92mm Besa BMG,5,light gun,3,1,7,0,0,0,0,0,28,32,0
131,.30cal BMG,5,light gun,3,1,0,0,0,0,0,0,28,32,0
133,.303 Bren BMG,5,light gun,3,1,0,0,0,0,0,0,28,32,0
134,.55 Boys ATR,2,secondary infantry weapon,2,2,0,0,0,26,0,0,24,40,0
139,.30cal M1917 AA,4,anti-air weapon,3,1,0,0,0,0,0,0,48,100,0
140,.50cal M2-HB AA,4,anti-air weapon,4,1,0,0,23,23,0,0,36,160,0
142,13.2mm CA Mle30,4,anti-air weapon,4,1,10,0,18,22,0,0,48,130,0
143,.30-06 M1903A4,1,primary infantry weapon,1,1,0,0,0,0,0,0,60,80,0
144,.30 M1 Carbine,1,primary infantry weapon,1,1,0,0,0,0,0,0,16,24,0
145,7.92mm MG42 CMG,5,light gun,3,1,0,0,0,0,0,0,48,120,0
146,SMLE No4 MkI(T),1,primary infantry weapon,1,1,0,0,0,0,0,0,60,80,0
147,20mm CA Mle39,4,anti-air weapon,222,2,0,0,11,35,0,0,40,160,0
148,.303 Bren AAMG,4,anti-air weapon,3,1,10,0,0,0,0,0,32,80,0
149,7.5mm FM29 AAMG,4,anti-air weapon,3,1,0,0,0,0,0,0,32,80,0
150,8mm AAMG(2),4,anti-air weapon,3,1,0,0,0,0,0,0,32,80,0
151,92mm NahVW,5,light gun,1,3,0,0,0,0,0,0,0,4,0
152,.30 M1 Carbine,2,secondary infantry weapon,1,1,0,0,0,0,0,0,16,24,0
156,9mm MP38/40 SMG,2,secondary infantry weapon,1,1,0,0,0,0,0,0,8,12,0
157,7.92mm Kar 98k,1,primary infantry weapon,1,1,0,0,0,0,0,0,16,48,0
158,9mm MP38/40 SMG,1,primary infantry weapon,1,1,0,0,0,0,0,0,8,12,0
159,7.92mm MG42 LMG,2,secondary infantry weapon,2,1,0,0,0,0,0,0,36,64,0
160,StHGr 24,2,secondary infantry weapon,1,2,0,0,19,0,0,0,4,4,0
161,7.92mm Kar 98k,1,primary infantry weapon,1,1,0,0,0,0,0,0,16,24,0
162,.30cal M2 AN MG,11,aircraft weapon,0,1,0,0,10,1,0,0,24,24,0
163,12.7mm Ho-103,11,aircraft weapon,0,1,0,0,18,1,0,0,24,24,0
164,.50cal M2 MG,11,aircraft weapon,0,1,8,0,18,1,0,0,24,24,0
166,20mm HS404 ,11,aircraft weapon,0,2,15,0,25,28,0,0,28,24,0
169,37mm M4 Cannon,11,aircraft weapon,0,2,0,0,40,0,0,0,20,24,0
175,5in Rocket+,11,aircraft weapon,0,8,0,0,46,0,0,0,0,24,0
177,.30cal CMG,5,light gun,2,1,0,0,0,0,0,0,48,120,0
178,7.5mm MAS 36,1,primary infantry weapon,1,1,5,0,0,0,0,0,16,48,0
179,7.92mm Besa CMG,5,light gun,2,1,0,0,0,0,0,0,48,120,0
180,7.5mm MAS 36,2,secondary infantry weapon,1,1,2,0,0,0,0,0,16,48,0
181,250 lb Bomb,11,aircraft weapon,0,20,0,0,75,0,0,0,16,4,0
182,500 lb Bomb,11,aircraft weapon,0,21,8,0,100,0,0,0,12,4,0
183,1000 lb Bomb,11,aircraft weapon,0,23,0,0,150,0,0,0,12,4,0
184,M9 Bazooka,2,secondary infantry weapon,3,4,6,0,0,222,110,0,8,20,0
185,Explosives,2,secondary infantry weapon,2,8,0,0,150,0,0,0,4,4,0
186,7.92mm MG34 BMG,5,light gun,3,1,10,0,0,0,0,0,28,32,0
188,Lt Naval Gun,10,naval artillery,99,8,0,0,54,0,0,0,28,227,0
189,Med Naval Gun,10,naval artillery,99,12,0,0,65,0,0,0,16,228,0
