id,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B59,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B75,icon_winter,icon_desert,X01,X02,X03,X04,X05,X06,X07,X08,X09,X11,X12,X13,X14,X15,X16,X17,X18,X19,X21,X22,X23,X24,X25,X26
1,Mk IIa,12,0,2,2,137,0,0,0,120,0,0,0,0,0,0,0,15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,40,17,7,630,0,0,0,0,9,0,0,0,0,2,10,740,0,4,0,1,6,0,0,0,0,0,0,740,4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Mk VIc,12,0,2,3,101,179,0,0,33,34,120,0,0,0,0,0,19,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,41,25,7,27602,0,1,0,0,9,0,1,0,0,2,10,107,0,4,1,9,10,0,165,0,0,0,0,107,4428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Honey,12,0,3,4,16,177,139,131,33,70,120,0,90,0,120,0,20,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,41,42,53,7,380,0,2,0,0,8,1,2,0,6,3,12,113,0,4,0,11,12,0,0,0,0,0,0,113,4415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Stuart VI,12,0,3,4,18,177,139,131,74,100,120,0,90,0,120,0,20,6,3,3,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,46,58,7,381,0,3,0,0,8,1,2,0,6,3,15,114,0,4,1,1,12,0,0,0,0,0,0,114,4430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,A9,102,0,4,6,20,137,238,238,0,100,120,0,120,0,120,0,13,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,41,45,7,618,0,1,0,0,8,0,1,0,13,4,12,103,0,4,0,1,11,0,0,0,0,0,0,103,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,A10,131,0,4,5,20,179,0,130,0,100,120,0,0,0,120,0,9,3,2,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,41,45,7,635,0,1,0,0,8,0,1,0,13,4,14,116,0,4,0,12,11,0,0,0,0,0,0,116,4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,A13 Mk II,102,0,4,4,20,137,0,0,0,87,120,0,0,0,0,0,16,3,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,38,41,49,7,690,0,2,0,0,8,0,2,0,13,4,15,118,0,4,1,4,11,0,0,0,0,0,0,118,4399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Crusader I,102,0,4,5,20,179,0,130,0,110,120,0,0,0,120,0,15,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,41,42,57,7,636,0,2,0,0,8,0,2,0,13,4,19,119,0,4,0,5,3,0,0,0,0,0,0,119,4409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Crusader I-CS,104,0,4,5,35,179,0,130,40,5,120,0,0,0,120,0,15,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,41,42,43,7,616,0,2,0,0,6,0,1,0,13,4,19,119,0,4,0,5,3,0,0,0,0,0,0,119,4409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Crusader II,102,0,4,5,20,179,0,130,0,110,120,0,0,0,120,0,15,5,3,3,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,42,42,59,7,619,0,2,0,0,8,0,2,0,13,4,19,104,0,4,0,1,9,0,0,0,0,0,0,104,4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
