id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,unit_ids[0],unit_cnt[0],unit_ids[1],unit_cnt[1],unit_ids[2],unit_cnt[2],unit_ids[3],unit_cnt[3],unit_ids[4],unit_cnt[4],unit_ids[5],unit_cnt[5],unit_ids[6],unit_cnt[6],unit_ids[7],unit_cnt[7],unit_ids[8],unit_cnt[8],unit_ids[9],unit_cnt[9]
1,34,Italian HQ,0,average,4,force HQ,6,force HQ,1930,1,1946,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,Co Carro,0,average,2,company,1,armor,1943,3,1943,6,1,1295,1,1010,1,1011,1,1021,1,0,0,0,0,0,0,0,0,0,0
3,34,Co Carro Medio+,0,average,2,company,1,armor,1939,1,1942,4,1,4,1,1084,1,1084,1,1084,1,0,0,0,0,0,0,0,0,0,0
4,34,OA Veicolo,0,average,1,platoon,2,artillery,1930,1,1946,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,34,Co Fanteria,0,average,2,company,3,infantry,1930,1,1940,24,1,24,1,343,1,1036,1,1036,1,1036,1,0,0,0,0,0,0,0,0
6,34,Sez Carro Legg,0,average,1,platoon,1,armor,1946,1,1946,85,1,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,34,Pl Carro Legg,0,average,1,platoon,1,armor,1946,1,1946,85,1,85,1,85,1,85,1,0,0,0,0,0,0,0,0,0,0,0,0
8,34,Pl Carro Legg,0,average,1,platoon,1,armor,1930,1,1943,1,1,2,1,60,1,502,1,506,1,0,0,0,0,0,0,0,0,0,0
9,34,Carro Leggero,0,average,0,SPWOOB_FTYPE_UNKNOWN,1,armor,1930,1,1943,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34,Carro Pesante,0,average,1,platoon,1,armor,1943,3,1943,55,1,55,1,433,1,435,1,0,0,0,0,0,0,0,0,0,0,0,0
11,34,Carro Appoggio,0,average,1,platoon,1,armor,1943,1,1943,80,1,80,1,73,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0
13,34,Carro Medio,0,average,0,SPWOOB_FTYPE_UNKNOWN,1,armor,1939,1,1942,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,34,Semovente,0,average,0,SPWOOB_FTYPE_UNKNOWN,1,armor,1932,9,1946,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,34,Pl Semovente,0,average,1,platoon,1,armor,1934,8,1943,9,1,9,1,9,1,431,1,0,0,0,0,0,0,0,0,0,0,0,0
16,34,M5 Ricerca,0,average,0,SPWOOB_FTYPE_UNKNOWN,1,armor,1946,1,1946,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,Semovente Pes,0,average,0,SPWOOB_FTYPE_UNKNOWN,1,armor,1930,1,1943,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,34,C/C Pesante Mot,0,average,1,platoon,2,artillery,1936,1,1946,425,1,425,1,425,1,417,1,417,1,417,1,0,0,0,0,0,0,0,0
21,34,Semovente C/A,0,average,0,SPWOOB_FTYPE_UNKNOWN,2,artillery,1935,1,1945,11,1,12,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,34,Contraerea,0,average,0,SPWOOB_FTYPE_UNKNOWN,2,artillery,1935,3,1946,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,34,Semovente C/A,0,average,0,SPWOOB_FTYPE_UNKNOWN,2,artillery,1935,1,1946,90,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,34,Sez MG (2),0,average,0,SPWOOB_FTYPE_UNKNOWN,3,infantry,1930,1,1946,21,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,34,Autoblindo,0,average,0,SPWOOB_FTYPE_UNKNOWN,1,armor,1930,1,1943,65,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,34,Meccanizzata,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1937,1,1945,62,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,34,Meccanizzato,0,average,0,SPWOOB_FTYPE_UNKNOWN,4,miscellaneous,1937,1,1942,149,1,274,1,62,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0
