rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,ew,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B90,icon_winter,icon_desert,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123
1,*****Spain*****,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,125,2,0,65118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ansaldo CL-35,132,0,1,2,0,0,0,240,0,0,0,0,0,0,120,0,15,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,54,14,33,33100,0,0,0,0,9,0,0,0,0,2,10,629,0,4,1,1,12,0,0,0,0,0,0,629,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PzKw1B Negrillo,131,0,3,2,247,0,0,0,120,0,0,0,0,0,0,0,15,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,54,19,33,33102,0,1,0,0,9,0,1,0,0,3,10,1817,0,4,1,1,12,0,55,0,0,0,0,1817,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PzKw Ib/20,12,0,3,2,246,0,0,0,13,12,0,0,0,0,0,0,13,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,54,18,33,33102,0,1,0,0,8,0,1,0,0,3,10,1818,0,4,1,1,12,0,128,0,0,0,0,1818,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,M24E Chaffee,12,0,4,5,84,66,56,65,24,24,120,0,90,0,120,0,17,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55,65,44,33,8410,0,3,0,0,7,0,5,0,6,3,15,16,0,0,0,1,12,0,0,210,208,210,0,4125,4123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M41E Bulldog,12,0,4,4,86,66,56,0,25,35,120,0,90,0,0,0,26,4,2,2,4,3,3,1,4,3,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,86,63,33,34014,0,5,5,0,7,1,8,0,6,4,18,13,0,0,2,1,12,0,0,210,208,0,0,4126,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Escorpion,12,0,3,3,87,232,0,0,0,0,120,0,0,0,0,0,28,4,4,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,85,105,72,33,8121,30,10,0,40,7,0,10,0,6,4,11,1270,0,4,2,1,12,0,0,55,0,0,0,1270,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,VRC Centauro,131,0,4,4,94,232,231,231,10,0,120,0,90,0,90,0,35,10,6,4,10,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,125,207,33,34040,40,30,10,20,6,5,22,0,0,5,23,7433,0,3,2,1,12,0,0,55,55,55,0,7437,7432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,VRC+ Centauro,131,0,4,4,94,232,231,231,10,0,120,0,90,0,90,0,33,12,6,4,12,6,4,3,12,12,4,12,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,91,100,125,221,33,34042,40,30,10,20,6,5,22,4,0,5,25,7433,0,3,2,1,12,0,0,55,55,55,0,7437,7432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,VRC-S Centauro,220,0,4,4,94,232,231,231,4,0,120,0,90,0,90,0,35,10,6,4,10,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,125,206,33,34042,40,30,5,5,6,5,22,4,106,7,23,7433,0,3,2,1,12,0,0,55,55,55,0,7437,7432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
