id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,ew,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,23,PT-76,245,amphibian tank,7,marine unit,3,track,1960,1,1981,12,4,3,3,45,15,52,0,5,5,0,0,7,6,10,4,0,75,20,10,5,5,62,120,0,0,0,0,0,0,0,6,3,2,6,3,3,2,0,4,2,1,4,2,2,1,0,0,0,0,0,0,0,0,11104,0,1622,1622,1622
2,23,PT-76B,245,amphibian tank,7,marine unit,3,track,1982,1,2025,12,4,3,3,62,15,71,15,5,5,0,2,7,6,10,4,0,76,20,10,5,5,62,120,0,0,0,0,0,0,0,6,3,2,6,3,3,2,0,4,2,1,4,2,2,1,0,0,0,0,0,0,0,0,11104,0,1615,1615,1615
3,23,Type 60,245,amphibian tank,7,marine unit,3,track,1961,1,1980,12,4,3,3,45,18,52,0,5,2,0,1,7,6,10,4,0,75,20,15,5,0,62,120,0,0,0,0,0,0,0,6,3,2,6,3,2,1,0,4,2,1,6,3,2,1,0,0,0,0,0,0,0,0,11001,0,1613,1613,1613
4,23,Type 63,245,amphibian tank,7,marine unit,3,track,1973,1,2025,12,4,4,3,51,22,62,0,5,2,0,0,7,6,14,4,0,73,17,23,5,0,231,120,0,230,90,0,0,0,0,3,2,2,10,8,4,1,0,2,1,1,10,8,4,1,0,0,0,0,0,0,0,0,14013,0,1623,1623,1623
5,23,M-551VN,245,amphibian tank,7,marine unit,3,track,1976,1,1985,12,5,4,3,79,23,63,20,10,8,0,2,5,6,12,2,1,103,10,0,10,0,66,120,0,56,90,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,10,5,5,2,0,0,0,0,0,0,0,0,12003,0,3913,3913,3913
8,23,Type 62,130,main battle tank,2,armor,3,track,1974,1,1989,12,3,4,4,56,20,52,10,3,2,0,0,7,13,19,0,0,73,22,20,5,0,231,120,0,230,90,0,232,120,0,0,0,0,0,0,0,0,0,10,6,4,10,8,4,3,0,0,0,0,0,0,0,0,14213,0,29,29,29
9,23,M-41A3,130,main battle tank,2,armor,3,track,1975,4,1985,12,4,4,4,62,24,61,10,5,8,0,0,7,6,18,0,0,77,30,26,5,5,67,120,0,70,90,0,0,0,0,4,3,3,4,3,4,1,0,4,2,2,4,3,3,1,0,0,0,0,0,0,0,0,12002,0,13,13,13
10,23,T-34/85,130,main battle tank,2,armor,3,track,1954,1,1975,12,4,5,3,49,18,42,0,3,3,0,0,7,13,22,0,0,81,36,19,0,0,66,120,0,0,0,0,65,120,0,0,0,0,0,0,0,0,0,9,6,7,10,8,6,2,0,0,0,0,0,0,0,0,11002,0,49,49,49
11,23,T-34/85,130,main battle tank,2,armor,3,track,1976,1,2010,12,4,5,3,56,18,61,0,3,3,0,0,7,13,22,0,0,87,20,20,10,5,66,120,0,0,0,0,65,120,0,0,0,0,0,0,0,0,0,9,6,7,10,8,6,2,0,0,0,0,0,0,0,0,11002,0,49,49,49
12,23,T-54B,130,main battle tank,2,armor,3,track,1965,1,1968,12,4,4,4,86,16,52,20,5,6,0,2,6,13,27,0,0,91,19,12,3,0,62,120,0,54,90,0,61,120,0,0,0,0,0,0,0,0,0,19,8,6,23,15,6,4,0,0,0,0,0,0,0,0,11120,0,4402,4402,4402
