id,name,wclass,wclass,size,warhead,kill_HE,kill_AP,pen_HE,pen_AP,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
1,Sniper Rifle,1,primary infantry weapon,0,1,2,0,0,0,0,0,30,15,0
2,Pistol,1,primary infantry weapon,0,1,1,0,0,0,0,0,0,1,0
3,MAS 36 Rifle,1,primary infantry weapon,0,1,1,0,0,0,0,0,1,10,0
4,M38/44 Carbine,1,primary infantry weapon,0,1,1,0,0,0,0,0,1,8,0
5,AKSU-74 SMG,1,primary infantry weapon,0,1,4,0,0,0,0,0,1,4,0
6,M1/M3 SMG,1,primary infantry weapon,0,1,6,0,0,0,0,0,1,2,0
7,M14 Rifle,1,primary infantry weapon,0,1,2,0,0,0,0,0,1,10,0
8,AK47 Rifle,1,primary infantry weapon,0,1,3,0,0,0,0,0,1,8,0
9,vz.25 SMG,1,primary infantry weapon,0,1,6,0,0,0,0,0,1,2,0
10,7.62mm 56-1 LMG,2,secondary infantry weapon,0,1,5,0,0,0,0,0,18,12,0
11,7.62mm RPD LMG,2,secondary infantry weapon,0,1,6,0,0,0,0,0,17,12,0
13,7.62mm PKM LMG,2,secondary infantry weapon,0,1,6,0,0,0,0,0,22,12,0
14,5.45mm RPK SAW,2,secondary infantry weapon,0,1,5,0,0,0,0,0,27,10,0
15,Type 56 RPG,2,secondary infantry weapon,0,4,4,0,2,222,20,0,3,3,0
18,Type 69 RPG,2,secondary infantry weapon,0,5,4,0,2,222,26,0,5,10,0
20,66mm LAW,2,secondary infantry weapon,0,4,4,0,2,222,35,0,5,3,0
22,107mm B11 RCLHE,3,team weapon,0,5,11,0,3,0,0,0,8,133,0
24,Mle 16 Rifle,1,primary infantry weapon,0,1,1,0,0,0,0,0,1,10,0
25,Type 53 Rifle,1,primary infantry weapon,0,1,1,0,0,0,0,0,1,10,0
26,Type 56 Carbine,1,primary infantry weapon,0,1,2,0,0,0,0,0,1,8,0
27,Type 50 SMG,1,primary infantry weapon,0,1,5,0,0,0,0,0,1,3,0
28,Type 68 Rifle,1,primary infantry weapon,0,1,3,0,0,0,0,0,1,8,0
29,M1 Rifle,1,primary infantry weapon,0,1,2,0,0,0,0,0,1,10,0
30,FM 24/29 LMG,2,secondary infantry weapon,0,1,5,0,0,0,0,0,16,12,0
31,BAR,2,secondary infantry weapon,0,1,5,0,0,0,0,0,17,12,0
32,.30 cal MMG,5,light gun,0,1,5,0,0,0,0,0,20,24,0
34,7.62mm T57 MMG,3,team weapon,0,1,6,0,0,0,0,0,24,24,0
35,7.62mm PKMS MMG,3,team weapon,0,1,6,0,0,0,0,0,22,24,0
36,.50 cal M2 HMG,3,team weapon,0,1,10,0,1,0,0,0,23,40,0
37,12.7mm T54 HMG,3,team weapon,0,1,10,0,1,0,0,0,21,40,0
38,12.7mm DShK HMG,3,team weapon,0,1,10,0,1,0,0,0,21,40,0
39,60mm 63 Mortar,3,team weapon,0,4,7,0,1,0,0,0,3,30,4
40,82mm T53 Mortar,3,team weapon,0,4,11,0,1,0,0,0,3,60,2
41,60mm M35 Mortar,2,secondary infantry weapon,0,4,7,0,1,0,0,0,3,30,2
42,81mm 27/31 Mrtr,3,team weapon,0,4,11,0,1,0,0,0,3,50,2
43,57mm M18A1 RCL,3,team weapon,0,3,3,0,2,222,7,0,7,9,0
44,105mm M27 RCL,3,team weapon,0,5,11,0,3,222,30,0,6,12,0
45,75mm Mle 1897,6,medium gun,0,4,5,0,2,0,9,0,6,170,0
46,107mm B11 RCL,3,team weapon,0,5,11,0,3,222,38,0,8,18,0
47,14.5 ZPU-1 AAMG,4,anti-air weapon,0,1,13,0,1,3,0,0,23,50,0
48,75mm Tp 56 RCL,3,team weapon,0,4,5,0,2,222,9,0,7,16,0
51,14.5mm (2) AAMG,4,anti-air weapon,0,1,15,0,1,3,0,0,23,50,0
53,7.62 SGMB AAMG,4,anti-air weapon,0,1,6,0,0,0,0,0,24,24,0
54,12.7 DShK AAMG,4,anti-air weapon,0,1,10,0,1,0,0,0,21,40,0
55,14.5mm (4) AAMG,4,anti-air weapon,0,1,18,0,1,3,0,0,23,50,0
56,14.5 KPV AAMG,4,anti-air weapon,0,1,13,0,1,3,0,0,23,50,0
57,37mm T55 AAG,4,anti-air weapon,0,2,14,0,1,9,0,0,20,60,0
58,57mm M1950 AAG,4,anti-air weapon,0,3,19,0,2,12,0,0,18,80,0
59,57mm (2) AA Gun,4,anti-air weapon,0,3,24,0,2,12,0,0,18,80,0
60,M2 Carl Gustav,2,secondary infantry weapon,0,5,7,0,2,222,40,0,6,9,0
61,7.62mm SGMT BMG,5,light gun,0,1,6,0,0,0,0,0,24,10,0
62,7.62mm SGMB CMG,5,light gun,0,1,6,0,0,0,0,0,24,24,0
63,7.62mm PKT CMG,5,light gun,0,1,6,0,0,0,0,0,22,24,0
64,7.62mm PKT TMG,5,light gun,0,1,6,0,0,0,0,0,24,24,0
65,7.62mm DTM BMG,5,light gun,0,1,5,0,0,0,0,0,20,10,0
66,7.62mm DTM CMG,5,light gun,0,1,5,0,0,0,0,0,20,24,0
67,7.5mm AAT52 CMG,5,light gun,0,1,6,0,0,0,0,0,16,24,0
68,7.5mm FM31 CMG,5,light gun,0,1,7,0,0,0,0,0,24,24,0
69,7.5mm FM31 TMG,5,light gun,0,1,7,0,0,0,0,0,24,24,0
70,.50 cal M2 AAMG,4,anti-air weapon,0,1,10,0,1,0,0,0,23,40,0
71,.30 cal AAMG,4,anti-air weapon,0,1,5,0,0,0,0,0,20,24,0
73,75mm M8 PH,6,medium gun,0,4,5,0,2,0,9,0,6,162,0
75,37mm Type 1 Gun,6,medium gun,0,2,1,0,1,6,0,0,13,40,0
77,37mm Type 98,6,medium gun,0,2,1,0,1,4,0,7,9,40,20
78,85mm ZP M39 Gun,6,medium gun,0,5,7,0,2,12,8,17,14,80,30
79,57mm M1 Gun,6,medium gun,0,3,3,0,2,10,0,16,13,50,20
80,14.5mm KPV TMG,5,light gun,0,1,13,0,1,3,0,0,23,50,0
81,57mm Type 97,6,medium gun,0,3,4,0,2,3,6,0,6,30,0
83,37mm M5 Gun,6,medium gun,0,2,1,0,1,6,0,0,14,40,0
85,85mm D44 Gun,6,medium gun,0,5,7,0,2,12,18,16,13,80,35
86,76mm D56T,6,medium gun,0,4,5,0,2,12,12,13,11,80,40
87,76mm D56TS,6,medium gun,0,4,5,0,2,15,28,13,11,80,40
88,75mm M8 FH,6,medium gun,0,4,5,0,2,0,9,0,6,162,0
89,85mm T56 Gun,6,medium gun,0,5,7,0,2,12,18,16,13,80,35
90,76.2mm T54 FG,6,medium gun,0,4,5,0,2,0,19,0,10,203,0
91,100mm D10T Yu65,6,medium gun,0,5,11,0,3,21,38,17,14,90,70
92,100mm D10T Yu98,6,medium gun,0,5,11,0,3,21,38,33,14,90,100
93,100mm M44 49,7,large gun,0,5,11,0,3,19,38,24,15,90,70
94,47mm SA35 (L32),6,medium gun,0,3,3,0,1,5,4,0,8,45,0
95,76.2mm T54 Gun,6,medium gun,0,4,5,0,2,9,19,13,10,50,25
96,75mm CN SA50,6,medium gun,0,4,5,0,2,20,0,0,13,75,0
99,75mm Type 94 FH,6,medium gun,0,4,5,0,2,0,8,0,6,166,0
100,100mm T59 Gun,6,medium gun,0,5,11,0,3,19,38,0,14,90,0
101,100mm T69 Gun,6,medium gun,0,5,11,0,3,21,38,35,14,90,70
104,122mm Rocket LR,3,team weapon,0,5,19,0,2,0,0,0,1,211,0
105,132mm M-13 Rckt,3,team weapon,0,5,21,0,2,0,0,0,1,170,0
106,105mm M2 FH,7,large gun,0,5,11,0,3,0,12,0,6,201,0
110,122mm D-30 FH,7,large gun,0,7,15,0,3,0,46,0,10,205,0
111,152mm T54 FH,7,large gun,0,8,21,0,4,0,11,0,7,202,0
112,122mm M31/37 FH,7,large gun,0,7,15,0,3,0,21,0,11,211,0
113,122mm T60 FG,7,large gun,0,7,15,0,3,0,20,0,13,214,0
115,130mm 59-1 FG,7,large gun,0,7,17,0,3,0,28,0,15,217,0
116,155mm M114 FH,7,large gun,0,8,21,0,4,0,0,0,6,205,0
117,ATO VFT,9,vehicle flamethrower,0,45,40,0,0,0,25,0,20,3,0
118,Pole Mine,2,secondary infantry weapon,0,10,6,0,10,222,18,0,12,1,0
119,Rifle-Grenade,2,secondary infantry weapon,0,3,3,0,2,222,5,0,1,3,0
120,Satchel Charge,2,secondary infantry weapon,0,10,20,0,18,0,15,0,15,1,0
121,Hand Grenade,2,secondary infantry weapon,0,3,6,0,1,0,0,0,3,1,0
122,Shrapnel Mine,5,light gun,0,5,15,0,1,0,0,0,25,1,0
123,40mm MGL Mk.1,2,secondary infantry weapon,0,3,6,0,1,222,5,0,3,8,0
125,9M32 Strela-2,12,surface-to-air missile,0,4,2,0,2,0,0,0,50,68,16
126,Hong Ying 5,12,surface-to-air missile,0,4,2,0,2,0,0,0,110,120,10
135,V-750V Dvina,12,surface-to-air missile,0,25,130,0,130,0,0,0,40,255,140
136,SA-3 Neva,12,surface-to-air missile,0,28,60,0,60,0,0,0,40,255,120
145,9M14 Malutka,13,anti-tank guided missile,0,5,0,0,0,222,46,0,60,60,10
151,9M111 Fagot,13,anti-tank guided missile,0,7,0,0,0,222,40,0,80,40,2
155,Susang Po ATGM,13,anti-tank guided missile,0,5,0,0,0,222,40,0,70,60,10
156,SS-11 ATGM,13,anti-tank guided missile,0,8,0,0,0,222,60,0,60,60,7
159,Hong Jian 9,23,multi-charge ATGM,0,8,0,0,0,222,120,0,90,100,2
160,Armbrust 300,2,secondary infantry weapon,0,4,4,0,2,222,30,0,3,6,0
165,Kh-23 Kerry,21,air-to-surface missile,0,12,25,0,25,0,0,0,70,200,100
170,.50 cal MG,11,aircraft weapon,0,1,10,0,1,0,0,0,23,40,0
171,7.62mm NF1 MG,3,team weapon,0,1,6,0,0,0,0,0,16,24,0
172,7.62mm MG,11,aircraft weapon,0,1,5,0,0,0,0,0,18,24,0
173,7.5mm MG,11,aircraft weapon,0,1,8,0,0,0,0,0,20,24,0
174,7.62mm SGM MG,3,team weapon,0,1,6,0,0,0,0,0,24,24,0
175,12.7mm DShK MG,3,team weapon,0,1,10,0,1,0,0,0,21,40,0
176,12.7mm (4) YaKB,19,auto cannon,0,1,20,0,1,0,0,0,27,40,0
178,12.7mm 54 MG,3,team weapon,0,1,12,0,1,0,0,0,15,40,0
179,7.62mm M60 MG,3,team weapon,0,1,5,0,0,0,0,0,18,24,0
180,20mm M3 Hispano,11,aircraft weapon,0,2,10,0,3,0,0,0,16,20,0
181,23mm NS-23,11,aircraft weapon,0,2,10,0,1,0,0,0,16,20,0
182,23mm GSh-23L,11,aircraft weapon,0,2,20,0,3,0,0,0,15,40,0
183,30mm Type 30-1,11,aircraft weapon,0,2,15,0,4,0,0,0,16,40,0
184,37mm N-37,11,aircraft weapon,0,2,15,0,4,0,0,0,9,20,0
185,2x57mm S-5K,11,aircraft weapon,0,2,8,0,1,222,13,0,5,40,1
