id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,end_mo,exp_mod,mor_mod,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,88,Battalion HQ,0,average,5,force HQ,6,force HQ,1960,7,2025,12,0,0,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,88,Tank,0,average,0,section,1,armor,1962,6,1990,12,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,88,Tank Team,0,average,0,section,1,armor,1962,6,1990,12,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,88,Tank Platoon(4),0,average,1,platoon,1,armor,1962,6,1978,3,0,0,4,1,4,1,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
7,88,Tank Platoon(-),0,average,0,section,1,armor,1978,4,1990,12,-5,-3,4,1,4,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,88,Ind Tank Pl,0,average,1,platoon,1,armor,1985,1,1993,12,0,-3,4,1,4,1,4,1,55,1,0,0,0,0,0,0,0,0,0,0,0,0
11,88,Tank Company,0,average,2,company,1,armor,1969,1,1978,3,0,0,4,1,1006,1,1006,1,1006,1,0,0,0,0,0,0,0,0,0,0,0,0
12,88,Tank Company(-),0,average,2,company,1,armor,1978,4,1990,12,-5,-3,4,1,1007,1,1004,1,1026,1,0,0,0,0,0,0,0,0,0,0,0,0
13,88,Tank Company +,0,average,2,company,1,armor,1969,1,1978,3,0,0,4,1,1006,1,1006,1,1006,1,1166,1,256,1,1161,1,0,0,0,0,0,0
18,88,Obsolete Tank,0,average,0,section,1,armor,1988,1,1995,12,-10,-8,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,88,Engineer Tank,0,average,0,section,1,armor,1960,7,2025,12,0,0,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,88,Eng Tank Sec,0,average,0,section,1,armor,1976,1,2025,12,0,0,256,1,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,88,Eng Tank Pl,0,average,0,section,1,armor,1976,1,1978,3,0,0,256,1,256,1,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,88,Armoured Car,0,average,0,section,1,armor,1974,11,1993,12,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,88,Armoured Car Pl,0,average,0,section,1,armor,1974,11,1990,12,0,0,31,1,31,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,88,APC Engineer Pl,0,average,0,section,3,infantry,1962,6,1990,12,0,0,466,1,466,1,466,1,41,1,41,1,41,1,0,0,0,0,0,0,0,0
30,88,Engineer Pl,0,average,0,section,3,infantry,1960,7,1990,12,0,0,466,1,466,1,466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,88,Demo Section,0,average,0,section,3,infantry,1988,1,2025,12,-5,-5,472,1,472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,88,Engineer Pl-M,0,average,0,section,3,infantry,1960,7,1990,12,0,0,466,1,466,1,466,1,551,1,551,1,551,1,0,0,0,0,0,0,0,0
