rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B90,icon_winter,icon_desert,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123
1,BT-5,102,0,3,3,18,171,0,0,25,90,120,0,0,0,0,0,17,3,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,42,35,11,4472,0,1,0,0,8,0,0,0,6,3,10,4202,0,4,0,6,5,0,0,0,0,0,0,4203,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BT-7 M1937,102,0,3,3,18,171,0,139,46,100,120,0,0,0,120,0,18,3,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,42,39,11,4474,0,1,0,0,8,0,0,0,6,3,10,4209,0,4,0,6,11,0,0,0,0,0,0,4211,4208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BT-7a,104,0,3,3,34,171,0,0,40,10,120,0,0,0,0,0,18,3,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,41,29,11,72,0,1,0,0,7,0,0,0,6,3,10,4214,0,4,0,6,10,0,0,0,0,0,0,4215,4212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,T-26 M1933,13,0,3,3,18,171,0,0,30,70,120,0,0,0,0,0,10,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,41,33,11,27857,0,1,0,0,8,0,0,0,6,3,10,4238,0,4,0,1,11,0,0,0,0,0,0,4239,4238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,T-37a,35,0,2,2,172,0,0,0,120,0,0,0,0,0,0,0,12,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,41,16,11,2106,0,0,0,0,9,0,0,0,0,2,10,4276,2,4,0,1,7,0,0,0,0,0,0,4277,4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,T-40,35,0,2,2,152,171,0,0,80,40,120,0,0,0,0,0,15,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,41,25,11,2130,0,1,0,0,9,0,0,0,0,3,10,4284,2,0,0,9,12,0,0,0,0,0,0,4286,4285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,T-60 M1941,12,0,2,2,8,171,0,0,78,78,120,0,0,0,0,0,15,4,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,42,31,11,74,0,1,0,0,9,0,1,0,6,3,10,4288,0,4,0,8,11,0,0,0,0,0,0,4290,4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,T-70 M1942,12,0,2,2,18,171,0,0,40,30,120,0,0,0,0,0,15,7,2,3,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,39,11,4251,0,2,0,0,8,0,2,0,6,3,10,4291,0,4,0,4,11,0,0,0,0,0,0,4290,4292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M3L,12,0,3,4,16,137,177,131,33,70,90,0,120,0,120,0,19,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,42,51,11,376,0,2,0,0,8,1,2,0,6,3,12,98,0,4,0,8,11,0,0,0,0,0,0,4461,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,OT-133,17,0,3,3,108,171,0,0,15,0,120,0,0,0,0,0,10,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,42,38,11,13195,0,0,0,0,9,0,0,0,0,2,11,4222,0,4,0,1,3,0,0,0,0,0,0,4223,4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,T-34/76 M1940,13,0,4,4,50,171,0,129,40,37,120,0,0,0,120,0,18,9,6,6,6,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,40,41,64,11,4291,0,2,0,0,7,0,3,0,13,3,26,3578,0,4,0,10,7,95,0,0,0,0,0,3579,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,T-34/76 M1941+,13,0,4,4,51,171,0,129,40,37,120,0,0,0,120,0,18,9,6,6,7,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,42,70,11,154,0,2,0,0,7,0,3,0,13,3,29,734,0,4,0,8,7,95,0,0,0,0,0,4154,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,T-34/76 M1943,13,0,4,4,51,171,0,129,50,44,120,0,0,0,120,0,18,9,6,8,8,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,43,75,11,2108,0,2,6,0,7,0,3,0,13,3,30,82,0,4,0,11,12,95,0,0,0,0,0,4468,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
