rid,name,wclass,size,sound,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
1,M1930 Rifle,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Star SI35 SMG,1,0,0,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,0,1,0,0,8,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.92mm MG34 MMG,3,0,0,1,0,0,8,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7.92mm MG42 MMG,3,0,0,1,0,0,10,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.92mm MG34 BMG,5,0,0,1,0,0,8,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20mm Quad AA,4,0,0,2,1,3,19,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Breda CM 20L65,5,0,0,2,1,4,9,0,16,30,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25mm SA34 L/72,6,0,0,2,1,5,1,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20mm KwK 38,19,0,0,2,1,4,12,0,16,30,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,37mm Canon AA,4,0,0,2,1,4,15,0,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm SA 17 L21,6,0,0,2,1,0,1,0,6,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Arellano 40L27,6,0,0,2,1,4,2,0,7,40,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37mm TaK 30 L40,6,0,0,2,1,5,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,37mm PaK 35 L45,6,0,0,2,1,5,1,0,11,40,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20mm KwK 38,5,0,0,2,1,4,10,0,16,30,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40mm Canon AA,4,0,0,3,1,7,15,0,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,45mm L44 M.39,6,0,0,3,1,6,2,0,11,45,20,9,7,0,0,0,0,0,0,0,0,0,0,0,0
19,45mm PTP obr.32,6,0,0,3,1,6,2,0,11,45,20,9,7,0,0,0,0,0,0,0,0,0,0,0,0
20,Mod 91 Carabina,1,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47L32 Mod.35,6,0,0,3,1,5,2,0,8,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,47mm M.36t L43,6,0,0,3,1,8,2,0,11,45,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,50mm M.38 L60,6,0,0,3,1,9,3,0,15,50,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Cannone 65L17,6,0,0,4,2,2,4,0,6,142,60,3,4,0,0,0,0,0,0,0,0,0,0,0,0
32,7.5cm leIG 18,6,0,0,4,2,0,5,0,6,74,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
33,Obus 75mm L32,6,0,0,4,2,0,5,0,6,207,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Schneider 75/28,6,0,0,4,2,0,5,0,6,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3" Stokes M.18,3,0,0,4,1,0,9,0,3,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,100mm Skoda FH,7,0,0,5,3,0,11,0,6,206,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5cm Valero-Ecia,3,0,0,3,0,0,5,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,75mm StuK37 L24,6,0,0,4,2,5,5,0,6,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,75mm StuK40 L48,6,0,0,4,2,13,5,0,12,70,50,17,9,0,0,0,0,0,0,0,0,0,0,0,0
46,75mm M.40 L40,6,0,0,4,2,10,5,0,10,70,40,12,7,0,0,0,0,0,0,0,0,0,0,0,0
47,75mm KwK40 L48,6,0,0,4,2,13,5,0,12,70,50,17,9,0,0,0,0,0,0,0,0,0,0,0,0
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,81mm M.35 Mrt,3,0,0,4,1,0,11,0,3,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,81mm GrW 34,3,0,0,4,1,0,11,0,3,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,81mm mle 27/31,3,0,0,4,1,0,11,0,3,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,81mm Valero M33,3,0,0,4,1,0,11,0,3,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,88mm FlaK 36,6,0,0,5,2,15,7,0,13,90,70,21,10,0,0,0,0,0,0,0,0,0,0,0,0
60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Vickers 105 M22,7,0,0,5,3,0,11,0,6,206,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Obice da 100L17,7,0,0,5,3,0,11,0,6,204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,105mm FH 18 L28,7,0,0,5,3,0,11,0,7,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
69,10cm K18,7,0,0,5,3,0,11,0,6,211,50,21,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Obice da 105L25,7,0,0,5,3,0,11,0,6,212,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
71,105mm M.19 Schn,7,0,0,5,3,8,11,0,6,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Trinch Mortero,7,0,0,7,1,0,17,0,3,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,12cm GrW 42,3,0,0,5,2,0,19,0,3,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,10.5cm leFH 18,7,0,0,5,3,0,11,0,6,202,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,15cm sIG 33,7,0,0,8,4,0,21,0,6,94,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
79,15cm sFH 18,7,0,0,8,4,0,21,0,6,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Cannone 149/35A,7,0,0,8,3,0,19,0,10,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Krupp 150/27,7,0,0,8,3,0,21,0,7,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Schneider155/13,7,0,0,8,3,0,21,0,6,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Lanzador Llama,8,0,0,45,0,0,25,0,30,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
84,Dinamita,2,0,0,7,1,1,10,0,15,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
85,Bomba Gasolina,8,0,0,3,4,222,4,0,12,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
86,Tellermine,2,0,0,7,2,8,5,0,15,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
87,Garcia Grenade,2,0,0,3,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,PzB 39 ATR,2,0,0,1,0,3,0,0,34,13,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
89,Panzerfaust,2,0,0,8,4,222,4,0,2,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
90,Granada Mano,2,0,0,3,1,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,PzGwrGranate 30,2,0,0,2,1,222,3,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
92,Lancia Bomba,2,0,0,3,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Granada Fusile,2,0,0,2,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,6.5mm Breda LMG,2,0,0,1,0,0,4,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,7mm M1922 LMG,2,0,0,1,0,0,5,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Lewis M1914 LMG,2,0,0,1,0,0,5,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Trapote M34 LMG,2,0,0,1,0,0,5,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Dreyse MG13 LMG,3,0,0,1,0,0,5,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,7.92mm MG42 LMG,2,0,0,1,0,0,10,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7mm M1903 MMG,3,0,0,1,0,0,5,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Satchel Charge,2,0,0,10,18,0,20,0,15,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
102,Vickers 114 MkI,7,0,0,6,3,0,13,0,6,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,210mm M1895,7,0,0,11,5,0,33,0,6,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,17cm K 18,7,0,0,9,4,0,25,0,6,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Lanzador Llama,8,0,0,45,0,0,25,0,30,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,240mm Mortero,7,0,0,10,4,0,43,0,3,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,260mm Mortero,7,0,0,11,5,0,47,0,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Beretta 1934,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Astra Mod.400,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,15mm Triple AA,4,0,0,1,2,0,20,0,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,45/5 M35 Brixia,3,0,0,3,0,0,4,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Vickers HMG,3,0,0,1,0,0,5,0,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,6.5mm Fiat MMG,3,0,0,1,0,0,4,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Breda M.30 MMG,3,0,0,1,0,0,5,0,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Browning M17 MG,3,0,0,1,0,0,5,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Dreyse MG13 MMG,3,0,0,1,0,0,6,0,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Maxim M.1910 MG,3,0,0,1,0,0,5,0,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,75mm L27 Mod.34,6,0,0,4,2,5,5,0,7,60,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0
125,7.92mm MG13 BMG,5,0,0,1,0,0,6,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,7.92mm MG37 BMG,5,0,0,1,0,0,6,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Hotchkiss BMG,5,0,0,1,0,0,5,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,7.62mm DT BMG,5,0,0,1,0,0,5,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,7.92 MG42 AAMG,4,0,0,1,0,0,10,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,T-Gewehr ATR,2,0,0,1,0,2,1,0,16,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
134,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,7.92 MG34 AAMG,4,0,0,1,0,0,8,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,30 cal AAMG,4,0,0,1,0,0,5,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Solothurn S18,2,0,0,2,0,3,0,0,6,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
143,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,20mm Madsen L60,5,0,0,2,1,3,1,0,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Sniper Rifle,1,0,0,1,0,0,2,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2cm FlaK 30,4,0,0,2,1,3,10,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,20mm Breda AA,4,0,0,2,1,3,9,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,7.5mm FM29 AAMG,4,0,0,1,0,0,5,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,7.92mm (2) TMG,5,0,0,1,0,0,13,0,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,7.92mm MG34 CMG,5,0,0,1,0,0,8,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Kar 98k Fusile,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,MP38/40 SMG,1,0,0,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,7.62mm MG,11,0,0,1,0,0,5,0,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7.7mm MG,11,0,0,1,0,0,5,0,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,7.92mm MG,11,0,0,1,0,0,5,0,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,12.7mm MG,11,0,0,1,1,0,10,0,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
