rid,name,nation,start_yr,end_yr,pscr,type,ERID[1],ERID[2],ERID[3],ERID[4],ERID[5],ERID[6],ERID[7],ERID[8],ERID[9],ERID[10],start_mo,end_mo,exp_mod,mor_mod,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59
1,Romania HQ,39,30,46,10,5,245,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Lt Tank Company,39,37,44,1,2,4,1009,1009,1009,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Medium Tank Co,39,43,44,1,2,9,1015,1015,1015,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Lt Tank Bn HQ,39,37,41,1,2,4,4,4,4,4,1032,1032,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Rifle Company,39,36,41,3,2,233,403,56,56,1095,1095,1095,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Rifle Company +,39,36,41,3,2,233,403,56,56,1039,1039,1039,1035,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lt Tank Bn HQ,39,42,43,1,2,4,4,4,4,4,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,TACAM Company,39,43,44,1,2,14,1014,1014,1014,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Lt Tank Platoon,39,37,45,1,1,4,4,4,4,4,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SP-Gun Platoon,39,42,45,1,1,14,14,14,14,14,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Cavalry Troop,39,30,46,3,1,122,122,122,122,0,0,0,0,0,0,1,12,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Medium Tank Co,39,42,42,1,2,6,1013,1013,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Medium Tank Pl,39,42,42,1,1,6,6,6,6,6,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,TACAM Platoon,39,43,44,1,1,14,14,14,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Medium Tank Pl,39,43,46,1,1,9,9,9,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Medium Tank Co,39,45,46,1,2,9,1015,1015,1015,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Tank Rgt HQ Co,39,37,41,1,2,4,4,4,1032,1167,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,TD Platoon,39,44,45,1,1,2,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,TD Company,39,44,45,1,2,2,1018,1018,1018,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
