id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,0,Slovak Republic,281,reserved,14,other,0,default,1939,4,1943,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,246,0,0,0,0
2,1,LT-35,109,tank,2,armor,3,track,1939,4,1941,12,3,3,3,35,12,22,0,2,2,0,8,6,10,0,0,13,54,24,0,0,178,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,3,2,2,3,2,2,1,49,0,0,0,0,0,0,0,2321,0,473,4436,4487
3,1,LT-34,109,tank,2,armor,3,track,1939,4,1940,6,3,3,3,36,12,21,0,2,2,0,8,6,10,0,0,13,24,48,0,0,178,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,29,0,0,0,0,0,0,0,20741,0,1596,1596,1596
7,1,LT-38,109,tank,2,armor,3,track,1941,2,1943,10,3,4,3,40,14,50,0,2,2,0,8,6,10,0,0,15,24,38,0,8,156,120,0,0,0,0,126,120,0,0,0,0,0,0,0,0,0,3,2,2,3,2,2,1,29,0,0,0,0,0,0,0,728,0,4437,4437,4488
8,1,Tancik vz.33,107,tankette,2,armor,3,track,1939,4,1943,10,1,2,2,13,12,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,154,120,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,580,0,3334,3334,3335
9,1,Dragoons,99,cavalry,1,cavalry,0,default,1939,4,1943,10,2,10,0,20,12,10,0,0,0,0,9,0,25,1,0,157,80,0,0,0,144,80,0,87,20,0,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,8896,0,0,0,0
10,1,LT-40-MG,109,tank,2,armor,3,track,1940,11,1941,12,3,3,3,35,16,50,0,2,2,0,8,6,10,0,0,156,120,0,0,0,0,0,0,0,0,0,126,120,0,0,0,0,0,0,0,0,0,3,2,2,3,2,2,1,29,0,0,0,0,0,0,0,4275,0,1047,4437,4488
11,1,LT-40,109,tank,2,armor,3,track,1941,12,1943,10,3,3,3,40,16,50,0,2,2,0,8,6,10,0,0,15,24,38,0,8,156,120,0,0,0,0,126,120,0,0,0,0,0,0,0,0,0,3,2,2,3,2,2,1,29,0,0,0,0,0,0,0,581,0,1047,4437,4488
12,1,Pack Mules,252,pack animals,10,transport,0,default,1939,4,1943,10,2,4,0,8,7,0,0,0,0,0,0,109,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,30012,0,748,748,748
13,1,Tatra Truck,242,light truck,10,transport,2,wheel (AT),1939,4,1943,10,2,1,0,9,16,10,0,0,0,0,0,112,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,8903,0,3176,3177,3178
14,1,Cavalry Mounts,104,cavalry mounts,1,cavalry,0,default,1939,4,1943,10,2,4,0,14,12,0,0,0,0,0,9,10,10,1,0,144,60,0,0,0,114,10,0,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,8708,0,448,448,448
21,1,Hlinka Gd Squad,46,Guards infantry,0,infantry,0,default,1941,5,1943,10,1,10,0,20,6,20,0,0,0,0,9,0,0,0,0,157,90,0,0,0,97,90,0,87,30,0,93,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,746,0,0,0,0
22,1,Hlinka Gd Squad,49,Guards heavy wpns squad,0,infantry,0,default,1941,5,1943,10,1,10,0,20,6,20,0,0,0,0,9,0,0,0,0,157,90,0,0,0,97,90,0,87,30,0,142,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,8895,0,0,0,0
32,1,PzKw IIc,233,armored car,8,recon,3,track,1943,10,1943,10,3,3,3,34,14,51,0,1,3,0,9,6,10,0,0,9,16,20,0,0,155,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,1,33,0,0,0,0,0,0,0,324,0,1434,1434,1433
33,1,PzKw III N,109,tank,2,armor,3,track,1943,2,1943,10,4,5,4,54,13,90,0,3,3,0,7,13,23,0,1,41,44,0,20,0,155,120,0,0,0,0,6,120,0,0,0,0,0,0,0,0,0,7,3,5,7,3,3,2,33,0,0,0,0,0,0,0,1999,0,1039,1039,4352
34,1,Marder III H,177,SP AT gun,5,anti-tank,3,track,1943,1,1943,10,3,4,3,47,13,90,0,4,3,0,7,0,10,0,0,47,10,18,5,5,138,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,33,0,0,0,0,0,0,0,20737,0,3009,3009,3011
50,1,OA vz 27,233,armored car,8,recon,2,wheel (AT),1939,4,1943,10,3,5,3,20,12,30,0,0,0,0,9,0,10,0,0,211,120,0,0,0,0,0,0,0,0,0,235,120,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4309,0,4023,4148,4025
51,1,OA vz 30,233,armored car,8,recon,2,wheel (AT),1939,4,1943,10,3,3,3,19,20,30,0,0,0,0,9,0,10,0,0,97,120,0,0,0,0,0,0,0,0,0,230,120,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,231,0,0,0,0,0,0,0,9343,0,179,179,179
52,99,<OA vz 30bis>,233,armored car,8,recon,2,wheel (AT),1940,1,1943,10,3,3,3,20,24,41,0,0,0,0,9,0,10,0,0,8,10,10,0,0,0,0,0,0,0,0,130,120,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,25,0,0,0,0,0,0,0,23248,0,89,89,4448
65,1,Praga RN,243,medium truck,10,transport,1,wheel,1939,4,1943,10,3,2,0,12,18,10,0,0,0,0,0,118,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,20739,0,3167,3168,3169
66,1,Praga RV,243,medium truck,10,transport,1,wheel,1939,4,1943,10,3,2,0,12,18,10,0,0,0,0,0,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,22103,0,138,138,138
67,1,Tatra 85,244,heavy truck,10,transport,2,wheel (AT),1939,4,1943,10,4,2,0,16,15,10,0,0,0,0,0,132,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,22151,0,3152,3153,3154
70,1,ATR Team,182,AT infantry,5,anti-tank,0,default,1939,4,1940,12,0,2,0,8,6,0,0,0,0,0,9,0,0,0,0,96,0,50,0,0,158,50,0,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25583,0,0,0,0
71,1,ATR Team,182,AT infantry,5,anti-tank,0,default,1941,1,1943,10,0,2,0,8,6,0,0,0,0,0,9,0,0,0,0,142,0,50,0,0,216,50,0,87,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0
72,1,Tank Hunters,182,AT infantry,5,anti-tank,0,default,1941,6,1943,10,0,4,0,12,6,2,0,0,0,0,8,0,0,0,0,86,0,8,0,0,158,60,0,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0
75,1,8cm Mortar Sect,146,mortar,4,artillery,0,default,1939,4,1943,10,1,8,0,27,3,90,0,0,0,0,7,0,0,0,0,57,40,0,0,0,57,40,0,157,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,8929,0,67,67,67
78,1,37mm KPUV vz 37,174,AT gun,5,anti-tank,0,default,1940,1,1943,10,0,5,0,22,3,10,0,3,2,0,8,0,1,0,0,15,50,60,0,10,157,60,0,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,4270,0,8008,8008,8008
80,1,7.5cm PaK 40,174,AT gun,5,anti-tank,0,default,1943,1,1943,12,1,6,0,38,0,10,0,4,3,0,7,0,1,0,0,52,25,40,5,5,157,60,0,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,3839,0,8011,8011,8011
81,1,37mm KPUV vz 37,174,AT gun,5,anti-tank,0,default,1939,4,1939,12,0,5,0,22,3,12,0,3,2,0,8,0,1,0,0,15,60,60,0,0,157,60,0,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,9313,0,8008,8008,8008
85,1,20mm AA-Gun,187,AA gun,6,anti-air,0,default,1939,4,1943,10,1,8,0,22,1,10,0,2,2,0,9,0,1,0,0,147,40,5,0,0,157,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,17041,0,8020,8020,8020
