id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,ew,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,13,M2A4,132,light tank,2,armor,3,track,1940,8,1942,3,3,4,3,40,19,31,0,1,1,n/a,0,8,6,10,0,0,16,52,51,0,0,177,120,0,139,90,0,131,120,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,30310,0,98,1306,4461
2,13,M3,132,light tank,2,armor,3,track,1941,11,1942,3,3,4,3,50,20,52,0,2,2,n/a,1,8,6,12,0,0,16,52,51,0,0,177,120,0,139,90,0,131,120,0,0,0,0,0,0,0,0,0,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,2157,0,98,1306,4461
3,13,M5A1,132,light tank,2,armor,3,track,1943,12,1944,12,3,4,3,56,20,90,0,3,2,n/a,1,8,6,15,0,0,18,74,73,0,0,177,120,0,139,90,0,131,120,0,0,0,0,0,0,0,0,0,6,3,3,6,3,3,1,0,0,0,0,0,0,0,0,4469,0,114,4430,3540
4,13,M4A1,133,medium tank,2,armor,3,track,1943,12,1944,4,5,5,3,77,13,90,0,3,3,n/a,1,7,13,30,0,0,46,50,40,0,0,177,120,0,140,90,0,131,120,0,0,0,0,0,0,0,0,0,7,4,4,9,5,5,2,0,0,0,0,0,0,0,0,514,0,1082,4421,3567
5,13,M4A3 (75),133,medium tank,2,armor,3,track,1945,1,1946,12,5,5,3,86,13,90,0,3,6,n/a,1,7,13,30,0,2,46,49,48,0,0,177,120,0,140,90,0,131,120,0,0,0,0,0,0,0,0,0,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,8719,0,1296,1086,1086
6,13,M4A2 (Late),133,medium tank,2,armor,3,track,1944,2,1944,12,5,5,3,79,13,92,0,3,3,n/a,1,7,13,31,0,2,46,45,45,0,0,177,120,0,140,90,0,131,120,0,0,0,0,0,0,0,0,0,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2477,0,1085,4423,4462
7,13,M3A1 Satan,147,flame tank,2,armor,3,track,1944,6,1945,12,3,4,2,57,20,90,0,1,1,n/a,1,9,0,12,0,0,108,25,0,0,0,177,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,8859,0,1422,1422,1422
8,13,POA-CWS-H5(75),147,flame tank,2,armor,3,track,1945,8,1946,12,5,5,2,81,13,90,0,3,2,n/a,1,7,0,23,0,0,46,20,20,0,0,108,22,0,140,90,0,131,120,0,0,0,0,0,0,0,0,0,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2466,0,1407,1407,1407
9,13,M4 Flail,149,mine clearing tank,2,armor,3,track,1944,6,1946,12,5,5,3,146,12,90,0,3,2,n/a,1,7,0,24,0,0,46,49,48,0,0,177,120,0,140,90,0,0,0,0,109,4,4,9,5,5,2,0,11,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2474,0,1076,1069,1076
10,13,M4A2 Dozer,146,engineer tank,2,armor,3,track,1943,11,1946,12,5,5,3,135,12,92,0,3,3,n/a,1,7,0,33,0,0,46,60,37,0,0,177,120,0,140,90,0,0,0,0,109,4,4,9,5,5,2,0,11,4,4,9,5,5,2,0,0,0,0,0,0,0,0,4438,0,1075,1068,151
