id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,end_mo,exp_mod,mor_mod,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,18,Indian HQ,0,average,5,force HQ,6,force HQ,1930,1,1946,12,0,0,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,Rifle Company,0,average,2,company,3,infantry,1930,1,1946,12,0,0,69,1,70,1,1038,1,1038,1,1038,1,0,0,0,0,0,0,0,0,0,0
4,18,Mech Inf Co,0,average,2,company,3,infantry,1944,1,1946,12,0,0,69,1,52,1,69,1,52,1,1041,1,1041,1,1041,1,0,0,0,0,0,0
5,18,Rifle Company+,0,average,2,company,3,infantry,1930,1,1946,12,0,0,69,1,70,1,68,1,67,1,1038,1,1038,1,1038,1,0,0,0,0,0,0
6,18,Light Tank Co,0,average,2,company,1,armor,1933,6,1946,12,0,0,2,1,2,1,2,1,1007,1,1007,1,1007,1,1007,1,0,0,0,0,0,0
7,18,Light Tank Trp,0,average,1,platoon,1,armor,1933,6,1946,12,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18,Light Tank Sec,0,average,0,section,1,armor,1933,6,1946,12,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18,Amphip Tank Trp,0,average,1,platoon,1,armor,1944,6,1945,12,0,0,24,1,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,Light Tank,0,average,0,section,1,armor,1933,6,1946,12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18,Field Gun Sec,0,average,0,section,2,artillery,1930,1,1946,12,0,0,127,1,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,Tank Section,0,average,0,section,1,armor,1942,5,1946,12,0,0,19,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18,Tank,0,average,0,section,1,armor,1942,5,1946,12,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18,Amphib Tank Sec,0,average,0,section,1,armor,1944,6,1945,12,0,0,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,AT Gun Section,0,average,0,section,2,artillery,1938,1,1946,12,0,0,59,1,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
