id,name,wclass,wclass,size,warhead,kill_HE,kill_AP,pen_HE,pen_AP,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
1,M/91 Rifle,1,primary infantry weapon,0,1,1,0,0,0,0,0,1,10,0
2,M/34-40 DPP SMG,1,primary infantry weapon,0,1,5,0,0,0,0,0,1,3,0
3,7.92mm MG34 CMG,5,light gun,0,1,8,0,0,0,0,0,20,24,0
4,7.92mm MG34 BMG,5,light gun,0,1,8,0,0,0,0,0,20,10,0
5,Breda 20mm AA,4,anti-air weapon,0,2,9,0,1,4,0,0,16,30,0
6,20mm M/40 VKT,4,anti-air weapon,0,2,15,0,1,3,0,0,18,30,0
8,20mm M40 Madsen,5,light gun,0,2,1,0,1,3,0,0,15,35,0
9,25mm M34 L72,6,medium gun,0,2,1,0,1,5,0,0,18,35,0
10,Breda CM 20L65,4,anti-air weapon,0,2,9,0,1,4,0,6,16,30,20
12,37mm Puteaux,6,medium gun,0,2,1,0,1,0,0,3,6,30,4
14,37mm M36 L37,6,medium gun,0,2,1,0,1,6,0,8,11,40,20
15,37mm M40 L47,6,medium gun,0,2,1,0,1,5,0,8,12,40,20
17,40mm Bofors AAG,4,anti-air weapon,0,3,15,0,1,7,0,0,14,46,0
18,45mm M32/38 L46,6,medium gun,0,3,2,0,1,6,0,0,11,45,0
21,47mm Hotchkiss,6,medium gun,0,3,2,0,1,5,4,0,8,45,0
23,47mm M35 Bohler,6,medium gun,0,3,2,0,1,6,0,8,8,40,20
24,47mm M35 Breda,6,medium gun,0,3,2,0,1,5,4,0,8,45,0
26,50mm M38 L60,6,medium gun,0,3,3,0,1,9,0,15,15,50,20
27,57mm Hotchkiss,6,medium gun,0,3,3,0,2,6,0,0,13,50,0
28,57mm Nordenfelt,6,medium gun,0,3,3,0,2,7,0,0,18,50,0
33,75mm K 17 FG,6,medium gun,0,4,5,0,2,0,9,9,6,201,60
34,76mm M 27 FG,6,medium gun,0,4,5,0,2,0,9,6,6,170,60
35,76mm K 02-39 FG,6,medium gun,0,4,5,0,2,0,0,0,6,158,0
36,76mm K 02-40 FG,6,medium gun,0,4,5,0,2,0,0,10,6,201,60
42,75mm L31/m2 Gun,6,medium gun,0,4,6,0,1,8,0,0,8,60,0
47,75mm M40 L48,6,medium gun,0,4,5,0,2,13,9,17,12,70,50
48,76.2mm L31 F-32,6,medium gun,0,4,5,0,2,7,0,0,8,60,0
49,76.2mm L10 L/26,6,medium gun,0,4,5,0,2,6,0,0,6,60,0
51,76.2mm M34 L41,6,medium gun,0,4,5,0,2,10,0,14,10,60,25
55,75mm M97 L36,6,medium gun,0,4,5,0,2,7,9,9,9,60,60
56,81mm M33 Mortar,3,team weapon,0,4,11,0,1,0,0,0,3,59,2
57,81mm M38 Mortar,3,team weapon,0,4,11,0,1,0,0,0,3,100,2
58,85mm M44 L53,6,medium gun,0,5,7,0,2,12,0,18,13,80,30
69,122mm H 09-39,7,large gun,0,7,15,0,3,0,0,0,6,152,0
70,122mm H 09-40,7,large gun,0,7,15,0,3,0,11,0,6,178,0
71,105mm H 37 FH,7,large gun,0,5,11,0,3,0,12,0,6,203,0
73,12cm M40 Mortar,3,team weapon,0,5,19,0,1,0,0,0,3,116,3
74,122mm H 38 FH,7,large gun,0,7,15,0,3,0,11,10,6,202,100
79,150mm H 40 FH,7,large gun,0,8,21,0,4,0,0,0,6,203,0
80,152mm H 09-30,7,large gun,0,8,21,0,4,0,0,9,6,200,60
81,152mm M20 L32,7,large gun,0,8,21,0,4,13,18,0,8,100,0
83,Flamethrower,8,infantry flamethrower,0,45,25,0,0,0,14,0,30,1,0
84,Satchel Charge,2,secondary infantry weapon,0,10,20,0,18,0,15,0,15,1,0
85,Molotov,8,infantry flamethrower,0,3,4,0,4,222,9,0,12,1,0
86,Tellermine,2,secondary infantry weapon,0,7,5,0,2,8,8,0,15,1,0
87,Hand Grenade,2,secondary infantry weapon,0,3,6,0,1,0,0,0,3,1,0
89,Panzerfaust,2,secondary infantry weapon,0,8,4,0,4,222,20,0,2,2,0
92,Panzerschreck,2,secondary infantry weapon,0,5,4,0,2,222,20,0,4,4,0
93,M30 Rifle Gren,2,secondary infantry weapon,0,2,2,0,1,0,0,0,1,4,0
94,M30 Breda LMG,2,secondary infantry weapon,0,1,4,0,0,0,0,0,20,12,0
95,7.5 FM24/29 LMG,2,secondary infantry weapon,0,1,5,0,0,0,0,0,17,12,0
96,7.62 Lahti LMG,2,secondary infantry weapon,0,1,5,0,0,0,0,0,19,12,0
97,Madsen M20 LMG,2,secondary infantry weapon,0,1,4,0,0,0,0,0,24,12,0
98,7.62mm DP LMG,2,secondary infantry weapon,0,1,5,0,0,0,0,0,20,12,0
99,Chauchat LMG,2,secondary infantry weapon,0,1,4,0,0,0,0,0,19,12,0
100,6.5mm M21 LMG,2,secondary infantry weapon,0,1,4,0,0,0,0,0,22,12,0
102,114mm H 18 FH,7,large gun,0,6,13,0,3,0,0,0,10,150,0
103,203mm H 17 Hwtz,7,large gun,0,11,31,0,5,0,0,0,6,200,0
110,152mm H 37  FH,7,large gun,0,8,21,0,4,0,0,0,6,207,0
112,155mm K/17-41,7,large gun,0,8,21,0,4,0,0,0,6,208,0
113,7.92mm FN D LMG,2,secondary infantry weapon,0,1,5,0,0,0,0,0,17,12,0
114,9mm Lahti M/35,1,primary infantry weapon,0,0,1,0,0,0,0,0,0,1,0
115,Quad Maxim AAMG,4,anti-air weapon,0,1,9,0,0,0,0,0,24,30,0
118,lg 210mm Mrs,7,large gun,0,8,33,0,4,0,0,0,6,204,0
119,120mm K 78 FG,7,large gun,0,7,15,0,3,0,0,0,6,202,0
121,MG08 HMG,3,team weapon,0,1,5,0,0,0,0,0,23,30,0
122,7.62 Maxim HMG,3,team weapon,0,1,5,0,0,0,0,0,24,30,0
123,7.62m DS-39 MMG,3,team weapon,0,1,5,0,0,0,0,0,20,24,0
124,7.62mm M/33 HMG,3,team weapon,0,1,8,0,0,0,0,0,24,30,0
129,7.62mm DT BMG,5,light gun,0,1,5,0,0,0,0,0,20,10,0
132,20mm Lahti,1,primary infantry weapon,0,2,0,0,0,4,5,0,16,14,0
133,20mm Lahti ATR,2,secondary infantry weapon,0,2,0,0,0,4,5,0,16,14,0
134,14 mm pst kiv/3,2,secondary infantry weapon,0,1,0,0,0,2,3,0,16,10,0
139,M/31 VKT AAMG,4,anti-air weapon,0,1,12,0,0,0,0,0,24,24,0
140,7.62mm DT AAMG,4,anti-air weapon,0,1,5,0,0,0,0,0,20,24,0
141,12.7 DShK AAMG,4,anti-air weapon,0,1,10,0,1,0,0,0,21,40,0
144,M/40 VKT AAMG,4,anti-air weapon,0,1,12,0,0,0,0,0,24,24,0
146,Sniper Rifle,1,primary infantry weapon,0,1,2,0,0,0,0,0,30,15,0
