id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,unit_ids[0],unit_cnt[0],unit_ids[1],unit_cnt[1],unit_ids[2],unit_cnt[2],unit_ids[3],unit_cnt[3],unit_ids[4],unit_cnt[4],unit_ids[5],unit_cnt[5],unit_ids[6],unit_cnt[6],unit_ids[7],unit_cnt[7],unit_ids[8],unit_cnt[8],unit_ids[9],unit_cnt[9]
1,75,SPWAW ENH-DV,4,elite recon,4,force HQ,6,force HQ,1930,1,1949,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,75,Armored Car Sec,1,recon,1,platoon,1,armor,1931,1,1949,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,75,Armored Car Plt,1,recon,1,platoon,1,armor,1931,1,1949,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,75,Tankette Sec,1,recon,1,platoon,1,armor,1933,1,1949,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,75,Tankette Plt,1,recon,1,platoon,1,armor,1933,1,1949,5,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
6,75,Ind Arm Car Co,1,recon,2,company,1,armor,1900,1,1942,2,1,1003,1,1003,1,1005,1,1005,1,0,0,0,0,0,0,0,0,0,0
7,75,Lt Tank Sec,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,75,Lt Tank Plt,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,75,Lt Tank Co,1,recon,2,company,1,armor,1937,1,1949,11,1,1008,1,1008,1,1008,1,0,0,0,0,0,0,0,0,0,0,0,0
10,75,Lt Tank Sec,0,average,1,platoon,1,armor,1930,2,1933,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,75,Lt Tank Plt,0,average,1,platoon,1,armor,1930,2,1933,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,75,Med Tank Plt,0,average,1,platoon,1,armor,1932,1,1939,20,1,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,75,Med Tank Plt,0,average,1,platoon,1,armor,1940,1,1949,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,75,Med Tank Sec,0,average,1,platoon,1,armor,1932,1,1939,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,75,Med Tank Co,1,recon,2,company,1,armor,1932,1,1939,20,1,1012,1,1012,1,1012,1,0,0,0,0,0,0,0,0,0,0,0,0
16,75,Med Tank Co,1,recon,2,company,1,armor,1940,1,1949,22,1,1007,1,1013,1,1013,1,1013,1,0,0,0,0,0,0,0,0,0,0
17,75,Med Tank Sec,0,average,1,platoon,1,armor,1940,1,1949,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,75,Gun Tank Plt,0,average,1,platoon,1,armor,1942,9,1949,32,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,75,Gun Tank Co,1,recon,2,company,1,armor,1942,9,1949,32,1,1007,1,1018,1,1018,1,1018,1,0,0,0,0,0,0,0,0,0,0
20,75,Gun Tank Sec,0,average,1,platoon,1,armor,1942,9,1949,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,75,Ind Lt Tank Plt,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0
22,75,Ind Tank Plt,0,average,1,platoon,1,armor,1940,1,1945,22,1,22,1,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0
23,75,Ind Tank Co,1,recon,2,company,1,armor,1941,12,1945,22,1,1007,1,1022,1,1022,1,1022,1,1021,1,0,0,0,0,0,0,0,0
24,75,Ind Tank Sec,0,average,1,platoon,1,armor,1940,1,1945,22,1,22,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,75,Ind Lt Tank Sec,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,75,SPA Gun Plt,0,average,1,platoon,2,artillery,1943,5,1949,34,1,34,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,75,SPA Gun Sec,0,average,1,platoon,2,artillery,1943,5,1949,34,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,75,Dozer Plt,0,average,1,platoon,1,armor,1942,2,1949,42,1,42,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,75,Flail Plt,0,average,1,platoon,1,armor,1943,5,1949,44,1,44,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,75,Eng Tank,0,average,1,platoon,1,armor,1934,1,1949,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,75,Eng Tank Sec,0,average,1,platoon,1,armor,1934,1,1949,43,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,75,Amphib Tank Sec,0,average,1,platoon,1,armor,1942,7,1949,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,75,Amphib Tank Plt,0,average,1,platoon,1,armor,1942,7,1949,40,1,40,1,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0
47,75,Amphib Tank Co,1,recon,2,company,1,armor,1942,7,1949,40,1,1046,1,1046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,75,Capt Tank Plt,4,elite recon,1,platoon,1,armor,1942,1,1946,17,1,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,75,Strike Element,0,average,1,platoon,4,miscellaneous,1936,1,1949,115,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,75,Air Transports,0,average,1,platoon,4,miscellaneous,1939,1,1944,226,1,226,1,226,1,226,1,0,0,0,0,0,0,0,0,0,0,0,0
51,75,Gliders,0,average,1,platoon,4,miscellaneous,1943,4,1944,225,1,225,1,225,1,225,1,0,0,0,0,0,0,0,0,0,0,0,0
56,75,Med Truck Sec,0,average,1,platoon,4,miscellaneous,1930,1,1949,217,1,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,75,Med Truck Plt,0,average,1,platoon,4,miscellaneous,1930,1,1949,217,1,217,1,217,1,217,1,0,0,0,0,0,0,0,0,0,0,0,0
58,75,Hvy Truck Sec,0,average,1,platoon,4,miscellaneous,1934,1,1949,218,1,218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,75,Hvy Truck Plt,0,average,1,platoon,4,miscellaneous,1934,1,1949,218,1,218,1,218,1,218,1,0,0,0,0,0,0,0,0,0,0,0,0
60,75,Halftrack Sec,0,average,1,platoon,4,miscellaneous,1944,1,1949,213,1,213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,75,Halftrack Plt,0,average,1,platoon,4,miscellaneous,1944,1,1949,213,1,213,1,213,1,213,1,0,0,0,0,0,0,0,0,0,0,0,0
62,75,APC Sec,0,average,1,platoon,4,miscellaneous,1941,5,1949,214,1,214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,75,APC Plt,0,average,1,platoon,4,miscellaneous,1941,5,1949,214,1,214,1,214,1,214,1,0,0,0,0,0,0,0,0,0,0,0,0
64,75,APC Recon Grp,4,elite recon,1,platoon,3,infantry,1944,1,1949,230,1,213,1,213,1,213,1,236,1,236,1,236,1,236,1,236,1,236,1
65,75,Pack Mules,0,average,1,platoon,4,miscellaneous,1930,1,1949,222,1,222,1,222,1,222,1,0,0,0,0,0,0,0,0,0,0,0,0
66,75,Gun Teams,0,average,1,platoon,4,miscellaneous,1930,1,1949,223,1,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,75,Wagons,0,average,1,platoon,4,miscellaneous,1930,1,1949,221,1,221,1,221,1,221,1,0,0,0,0,0,0,0,0,0,0,0,0
68,75,Amphib Truck,0,average,1,platoon,4,miscellaneous,1943,1,1949,224,1,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
