+++ ptr=0x01e31040 size=0x0000000c       [0x00001104] (.\src\cfg\cfg.cpp:22, cfg_set, 12 bytes)
+++ ptr=0x01e31078 size=0x00000002       [0x00001104] (.\src\gamefile\savegame_descriptor.cpp:25, savegame_descriptor_init_core, 2 bytes)
+++ ptr=0x01e310a8 size=0x00000008       [0x00001104] (.\src\gamefile\savegame_descriptor.cpp:63, savegame_descriptor_init, 8 bytes)
+++ ptr=0x01e310e0 size=0x00000028       [0x00001104] (.\src\gamefile\gamedata.cpp:74, gamedata_new, 40 bytes)
+++ ptr=0x01e31138 size=0x00000320       [0x00001104] (.\src\gamefile\gamedata_secmap.cpp:41, gamedata_secmap_create, 800 bytes)
+++ ptr=0x01e35070 size=0x00002bf8       [0x00001104] (.\src\gamefile\spwaw\megacam_spwaw.cpp:36, gamedata_init_spwaw_megacam, 11256 bytes)
+++ ptr=0x01e40040 size=0x0024238f       [0x00001104] (.\src\gamefile\spwaw\gamedata_spwaw.cpp:142, gamedata_spwaw_new_data, 2368399 bytes)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x01e31488                       [0x00001104] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x01e37c98                       [0x00001104] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x01e37c98 size=0x00001014       [0x00001104] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x01e31488 size=0x00000014       [0x00001104] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
