+++ ptr=0x002e1040 size=0x00000002       [0x000011c0] (.\src\gamefile\savegame_descriptor.cpp:34, savegame_descriptor_init_core, 2 bytes)
+++ ptr=0x002e1070 size=0x00000008       [0x000011c0] (.\src\gamefile\savegame_descriptor.cpp:72, savegame_descriptor_init, 8 bytes)
+++ ptr=0x002e10a8 size=0x00000028       [0x000011c0] (.\src\gamefile\gamedata.cpp:74, gamedata_new, 40 bytes)
+++ ptr=0x002e1100 size=0x00000320       [0x000011c0] (.\src\gamefile\gamedata_secmap.cpp:41, gamedata_secmap_create, 800 bytes)
+++ ptr=0x002e5088 size=0x00002bf8       [0x000011c0] (.\src\gamefile\spwaw\megacam_spwaw.cpp:36, gamedata_init_spwaw_megacam, 11256 bytes)
+++ ptr=0x01ce0040 size=0x0024238f       [0x000011c0] (.\src\gamefile\spwaw\gamedata_spwaw.cpp:142, gamedata_spwaw_new_data, 2368399 bytes)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
--- ptr=0x002e1450                       [0x000011c0] (.\src\fileio\sbwrite.cpp:113, sbwrite_stop)
--- ptr=0x002e7cb0                       [0x000011c0] (.\src\fileio\bbread.cpp:130, bbread_stop)
+++ ptr=0x002e7cb0 size=0x00001014       [0x000011c0] (.\src\fileio\bbread.cpp:18, bbread_init, 4116 bytes)
+++ ptr=0x002e1450 size=0x00000014       [0x000011c0] (.\src\fileio\sbwrite.cpp:21, sbwrite_init, 20 bytes)
