ABOAT		"assault boat"
AHELI		"attack helicopter"
AHT		"armed halftrack"
AIR_FLD_HWTZR	"airborne field howitzer"
AIR_FO		"FO aircraft"
AIR_INF		"airborne infantry"
AIRB		"level bomber"
AIRF		"fighter-bomber"
AMMOCARR	"ammo carrier"
AMMODUMP	"ammo dump"
AMPHIB		"amphibian unit"
AMPHIB_TNK	"amphibian tank"
APC		"APC"
APC_SCOUT	"scout APC"
ARM_CAR		"armored car"
ARM_ENG		"armored engineers"
ARM_INF		"armored infantry"
ARM_SMG		"armored SMG squad"
ARM_SPT		"armored support squad"
ARM_TRK		"armored truck"
ART_PRMV	"artillery prime mover"
ASSAULT		"assault gun"
AT		"AT gun"
BARGE		"landing barge"
BARGECARR	"barge carrier"
BCYCLE		"bicycle squad"
BUNKER		"bunker"
CAPT_SPG	"captured SP gun"
CAPT_TNK	"captured tank"
CAV		"cavalry"
CAV_DIS		"dismounted cavalry"
CAV_MNT		"cavalry mounts"
CAV_SCOUT	"cavalry scouts"
CAV_TNK		"cavalry tank"
CAVE		"cave"
CC_TNK		"command tank"
CMD		"commandos"
CMD_ENG		"commando engineers"
CMD_INF_AT	"commando AT infantry"
CMD_SCOUT	"commando scouts"
CMD_SNIPER	"commando sniper"
CMD_SPT		"commando support squad"
COL_APC		"colonial APC"
COL_CAV		"colonial cavalry"
COL_FLD_GUN	"colonial field gun"
COL_HV_INF	"colonial heavy infantry"
COL_INF		"colonial infantry"
COL_LT_CAV	"colonial light cavalry"
COL_LT_INF	"colonial light infantry"
COL_SCOUT	"colonial scouts"
COL_SPT		"colonial support squad"
COL_TNK		"colonial tank"
CONSCR		"conscripts"
CR_TNK		"cruiser tank"
CREW		"crew"
CRG_AIR		"transport aircraft"
CS_CR_TNK	"CS cruiser tank"
CS_INF_TNK	"CS infantry tank"
CS_TNK		"CS tank"
CS_TNY_TNK	"CS tankette"
DD_TNK		"DD tank"
ELITE		"elite infantry"
EMP_FORT	"gun emplacement"
ENG		"engineers"
ENG_SPT		"engineer support squad"
ENG_TNK		"engineer tank"
EXPLOSIVE	"explosive"
FLAK		"AA gun"
FLD_GUN		"field gun"
FLM_TNK		"flame tank"
FO		"forward observer"
FORT		"fort"
GA		"ground attack"
GHRK		"Ghurkas"
GLIDER		"glider"
GRDS_ENG	"Guards engineers"
GRDS_INF	"Guards infantry"
GRDS_SCOUT	"Guards scouts"
GRDS_SMG	"Guards SMG squad"
GRDS_SPT	"Guards support squad"
GUERILLA	"guerilla forces"
GUN_TEAM	"gun team"
HELI		"helicopter"
HELI_FO		"FO helicopter"
HETS		"heavy transporter"
HQ		"force HQ"
HT		"halftrack"
HT_APC_GUN	"halftrack gun APC"
HT_SCOUT	"scout halftrack"
HV_AMPHIB	"heavy amphibian unit"
HV_ARM_CAR	"heavy armored car"
HV_ARM_INF	"armored heavy wpns squad"
HV_AT		"heavy AT gun"
HV_BCYCLE	"bicycle heavy wpns squad"
HV_CMD		"commandos heavy wpns squad"
HV_CR_TNK	"heavy cruiser tank"
HV_FLAK		"heavy AA"
HV_GHRK		"Ghurkas heavy wpns squad"
HV_GLIDER	"heavy glider"
HV_GRDS		"Guards heavy wpns squad"
HV_INF		"heavy wpns squad"
HV_MCYCLE	"motorcycle heavy wpns squad"
HV_MG		"heavy MG squad"
HV_MLT		"militia heavy wpns squad"
HV_MORT		"heavy mortar"
HV_OB_ART	"heavy offboard artillery"
HV_RNGR		"Rangers heavy wpns squad"
HV_SKI		"ski heavy wpns squad"
HV_TD		"heavy tank destroyer"
HV_TNK		"heavy tank"
HV_TR_APC	"heavy tracked APC"
HV_TRK		"heavy truck"
HWTZR		"howitzer"
IMP_APC		"improvised apc"
INF		"infantry"
INF_AT		"AT infantry"
INF_CS_GUN	"infantry support gun"
INF_FLAK	"AA MG infantry"
INF_GUN		"infantry gun"
INF_HWTZR	"infantry howitzer"
INF_TNK		"infantry tank"
IRR_INF		"irregulars"
LCG		"landing craft gunboat"
LCS		"landing craft support"
LGN		"Legionnaires"
LGN_SMG		"Legionnaires SMG squad"
LGN_SPT		"Legionnaires support squad"
LL_TNK		"lend-lease tank"
LMG_SEC		"LMG section"
LNCR		"lancers"
LT_AIR_TNK	"airborne lt tank"
LT_AMPHIB	"light amphibian unit"
LT_ARM_CAR	"light armored car"
LT_ARM_INF	"light armored infantry"
LT_AT		"light AT gun"
LT_CAV_TNK	"light cavalry tank"
LT_CMD		"light commandos"
LT_GRDS		"light Guards squad"
LT_INF		"light infantry"
LT_INF_TNK	"light infantry tank"
LT_MLT		"light militia"
LT_MORT		"light mortar"
LT_OB_ART	"offboard light artillery"
LT_RNGR		"light Rangers squad"
LT_SKI		"light ski infantry"
LT_SP_FLAK	"light spaa vehicle"
LT_SP_MORT	"light sp mortar"
LT_TNK		"light tank"
LT_TRK		"light truck"
MB_TNK		"main battle tank"
MCYCLE		"motorcycle"
MD_ARM_INF	"medium armored infantry"
MD_CAV		"medium cavalry"
MD_CMD		"medium commandos"
MD_GRDS		"medium Guards squad"
MD_INF		"medium infantry"
MD_TNK		"medium tank"
MD_TRK		"medium truck"
MG		"machine gun"
MG_SEC		"MG section"
MG_TEAM		"MG team"
MG_TNK		"guntank"
MINECLR_TNK	"mine clearing tank"
MLT		"militia"
MLT_SCOUT	"militia scouts"
MLT_SPT		"militia support squad"
MORT		"mortar"
MOT_ENG		"motorized engineers"
MOT_INF		"motorized infantry"
MRNS		"marines"
MRNS_AT		"marines AT gun"
MRNS_ENG	"marines engineers"
MRNS_FO		"marines FO"
MRNS_HV_INF	"marines heavy wpns squad"
MRNS_LT_INF	"marines light infantry"
MRNS_SCOUT	"marines scouts"
MRNS_SNIPER	"marines sniper"
MRNS_SPT	"marines support squad"
MTN_ENG		"mountain engineers"
MTN_ENG_SPT	"mountain engineers support squad"
MTN_FO		"mountain FO"
MTN_HV_INF	"mountain heavy wpns sqd"
MTN_INF		"mountain infantry"
MTN_LT_INF	"mountain light infantry"
MTN_SCOUT	"mountain scouts"
MTN_SNIPER	"mountain sniper"
MTN_SPT		"mountain support squad"
NAT_INF		"native troops"
NAT_SCOUT	"native scouts"
NAV_FORT	"naval fortification"
NAVBOMB		"naval bombardment"
OB_ART		"offboard artillery"
OB_RKT		"offboard rocket launcher"
PACK		"pack animals"
PACK_HWTZR	"pack howitzer"
PARA		"paratroop"
PARA_AIR	"paratroop transport"
PARA_ENG	"paratroop engineers"
PARA_FO		"paratroop FO"
PARA_INF_AT	"paratroop AT infantry"
PARA_LT_INF	"paratroop light infantry"
PARA_MD_INF	"paratroop medium infantry"
PARA_MG		"paratroop MG squad"
PARA_MORT	"paratroop mortar"
PARA_SCOUT	"paratroop scouts"
PARA_SMG	"paratroop SMG squad"
PARA_SNIPER	"paratroop sniper"
PARA_SPT	"paratroop support squad"
PATROL		"patrol"
PBOAT		"patrol boat"
PLT_HQ		"platoon HQ"
POLICE		"police"
PRMV		"prime mover"
PROTO_TNK	"prototype tank"
PRTS		"partisan"
PRTS_BAND	"partisan band"
PRTS_ENG	"partisan pioneers"
PRTS_INF	"partisan squad"
PRTS_SCOUT	"partisan scouts"
PRTS_SPT	"partisan support squad"
RBOAT		"rivercraft"
RESERVED	"reserved"
RFL_INF		"rifle squad"
RFL_SEC		"rifle section"
RKT		"rocket launcher"
RNGR		"Ranger"
RNGR_ENG	"Ranger engineers"
RNGR_FO		"Ranger FO"
RNGR_SCOUT	"Ranger scouts"
RNGR_SNIPER	"Ranger sniper"
RNGR_SPT	"Ranger support squad"
SA_MORT		"mortar(sub type a)"
SB_MORT		"mortar(sub type b)"
SC_MORT		"mortar(sub type c)"
SCOUT		"scouts"
SD_MORT		"mortar(sub type d)"
SHIP		"ship"
SKI		"ski troops"
SKI_ENG		"ski engineers"
SKI_INF_AT	"ski AT infantry"
SKI_SCOUT	"ski scouts"
SKI_SMG		"ski SMG squad"
SKI_SNIPER	"ski sniper"
SL_INF		"second line infantry"
SL_SPT		"second line support squad"
SMG_SEC		"SMG section"
SNIPER		"sniper"
SNOW		"snow vehicle"
SNRKL_TNK	"snorkel tank"
SP_ART		"SP artillery"
SP_AT		"SP AT gun"
SP_FLAK		"SP AA gun"
SP_GUN		"SP gun"
SP_INF_GUN	"SP infantry gun"
SP_MORT		"SP mortar"
SP_RKT		"SP rocket launcher"
SPEC_TNK	"special tank"
SPECOP		"special forces"
TBOAT		"torpedo boat"
TD		"tank destroyer"
TEAM		"horse team"
TNK		"tank"
TNK_SCOUT	"scout tank"
TNY_TNK		"tankette"
TR_APC		"tracked APC"
TR_APC_GUN	"tracked APC gun"
TR_FO		"tracked FO"
TTD		"turreted tank destroyer"
UTIL		"utility vehicle"
VEH_FO		"FO vehicle"
VEH_SCOUT	"scout vehicle"
VHV_TNK		"very heavy tank"
WAGON		"wagon"
WH_APC		"wheeled APC"
WH_APC_GUN	"wheeled APC gun"
WH_AT		"AT gun truck"
WH_FLAK		"AA gun truck"
WSS_ENG		"Waffen SS engineers"
WSS_HV_INF	"Waffen SS heavy wpns squad"
WSS_INF		"Waffen SS"
WSS_RFL		"Waffen SS rifle squad"
WSS_SMG		"Waffen SS SMGsquad"
